code,country,year,KOFGI,KOFGIdf,KOFGIdj,KOFEcGI,KOFEcGIdf,KOFTrGIdf,KOFFiGIdf,KOFEcGIdj,KOFTrGIdj,KOFFiGIdj,KOFSoGI,KOFSoGIdf,KOFIpGIdf,KOFInGIdf,KOFCuGIdf,KOFSoGIdj,KOFIpGIdj,KOFInGIdj,KOFCuGIdj,KOFPoGI,KOFPoGIdf,KOFPoGIdj
WLD,World,1970,39.69291306,39.84591293,39.24853134,39.73789215,36.42876816,39.15013123,33.58701324,44.56531525,40.60335541,48.14585876,40.67360687,39.97942352,41.23265839,54.31969833,26.3899765,41.72124481,40.29197311,39.25690842,45.69487762,37.53102493,40.42417908,30.96068382
WLD,World,1971,40.13650131,40.28689194,39.69800949,40.68240356,37.52080154,39.76044846,35.11414719,45.1752243,41.70220947,48.32475662,40.85257721,40.47835922,41.98985291,54.27596664,26.64312935,41.66999054,40.48260498,39.409729,45.19805527,37.82191467,40.38596344,31.28851509
WLD,World,1972,40.43035126,40.33638382,40.15220642,40.80311584,37.62741089,39.55041504,35.41034698,45.34558487,41.70220947,48.66269302,41.01468277,40.49011993,42.07031631,54.1215477,26.75465775,41.97005081,40.72109985,39.4055481,45.85565567,38.30619812,40.47635269,32.40481567
WLD,World,1973,41.06303024,41.06643677,40.56516647,41.35838699,38.70314407,41.07286835,35.70240402,45.30244827,41.63311005,48.76229095,41.11932755,40.55814743,42.36112976,53.79041672,26.92431068,42.09254456,41.12273407,39.5639801,45.68396759,39.37490082,41.46281433,33.56969833
WLD,World,1974,41.45682907,41.48252106,41.04906082,41.89815521,39.88110733,44.05558777,35.21020508,45.06636047,41.88541794,48.31415939,41.22760773,40.68512726,42.38634109,53.90614319,26.94562149,42.31266022,41.3379364,39.70429611,45.99386215,39.98355103,41.50249481,34.62737274
WLD,World,1975,41.11710358,40.98615646,40.88027954,41.79384232,39.8650589,43.60766602,35.72534561,44.95111084,42.51095581,47.32972336,40.81207657,40.22025299,42.19585419,52.93110657,26.75725937,41.88676834,41.26507187,39.26435471,45.24787903,39.6641922,40.69343567,35.1176796
WLD,World,1976,41.6593399,41.25033569,41.68008804,42.04677963,40.24525833,43.3752594,36.69593811,45.13658142,42.73347473,47.5173378,40.91627884,40.23154068,42.35024643,52.48694229,26.9698925,42.0803833,41.46871948,39.34341812,45.5536232,40.81539536,41.06461716,36.90106583
WLD,World,1977,42.10346603,41.66958618,42.13764572,42.76333237,41.31694794,44.36878586,37.88764954,45.13922882,42.67484283,47.80276871,41.08477783,40.29621506,42.83943176,51.80754089,27.25343513,42.35237503,41.71328735,39.38407135,46.08227539,41.30481339,41.16512299,37.71298981
WLD,World,1978,42.59256744,42.26971817,42.36413956,43.2291069,42.16967773,44.46429062,39.35980988,45.20419693,42.95843887,47.81761932,41.16957474,40.43270493,43.27627563,51.48413086,27.536026,42.38813782,41.95663452,39.34798813,46.00049591,42.05111313,41.92266464,38.39906311
WLD,World,1979,42.91960144,42.71567535,42.69504547,43.8402977,43.37210464,45.99556351,40.30632401,44.91808319,43.13245392,47.27030945,41.58348083,40.81112671,44.15122986,51.56205368,27.57251167,42.83832169,42.34209061,39.57551956,46.7701683,42.29338455,41.80743027,38.86579514
WLD,World,1980,43.02528763,42.85836792,42.69956589,44.37429047,44.25096893,47.05703735,41.1255722,44.91555786,43.59443283,46.794384,41.4196701,40.01698685,44.68077087,51.08592224,26.71224976,42.81678772,42.57223511,39.40397263,46.6426239,42.26941681,41.62326431,39.03920746
WLD,World,1981,43.21405792,43.12421036,42.85128021,44.91723251,45.30744934,47.47083664,42.87156677,44.79354477,43.56172943,46.64925385,41.56629181,40.03052521,45.09804153,51.11557007,26.36834145,43.09532547,42.99626541,39.57985306,46.9016571,42.24834442,41.37177277,39.57321548
WLD,World,1982,43.30165482,43.11188126,42.94825745,44.98095322,45.54043961,46.40974808,44.414608,44.63322449,43.72146606,46.08856583,41.47790527,39.66699982,45.05612564,50.48295212,25.96549034,43.27085495,43.28482056,39.59115219,47.14273453,42.44710922,41.44541168,39.81908417
