Country or Area;Year(s);Variant;Value
Afghanistan;2015;Medium variant;17.04524329
Afghanistan;2010;Medium variant;15.63799973
Afghanistan;2005;Medium variant;15.32748908
Afghanistan;2000;Medium variant;15.25753748
Afghanistan;1995;Medium variant;15.86104
Afghanistan;1990;Medium variant;15.62550042
Afghanistan;1985;Medium variant;15.92927529
Afghanistan;1980;Medium variant;16.5586947
Afghanistan;1975;Medium variant;16.91232239
Afghanistan;1970;Medium variant;17.35682374
Afghanistan;1965;Medium variant;17.74739459
Afghanistan;1960;Medium variant;18.02529745
Afghanistan;1955;Medium variant;18.32064419
Afghanistan;1950;Medium variant;18.54351683
Albania;2015;Medium variant;33.48610343
Albania;2010;Medium variant;31.93729936
Albania;2005;Medium variant;29.2065668
Albania;2000;Medium variant;26.15885948
Albania;1995;Medium variant;24.46245565
Albania;1990;Medium variant;23.06076919
Albania;1985;Medium variant;21.75128203
Albania;1980;Medium variant;20.45511711
Albania;1975;Medium variant;19.35949444
Albania;1970;Medium variant;18.76973031
Albania;1965;Medium variant;18.90799813
Albania;1960;Medium variant;19.48697643
Albania;1955;Medium variant;20.12704023
Albania;1950;Medium variant;20.86866849
Algeria;2015;Medium variant;27.53728999
Algeria;2010;Medium variant;26.0052932
Algeria;2005;Medium variant;23.99828743
Algeria;2000;Medium variant;21.58909332
Algeria;1995;Medium variant;19.27234803
Algeria;1990;Medium variant;17.77812795
Algeria;1985;Medium variant;16.99394538
Algeria;1980;Medium variant;16.7459164
Algeria;1975;Medium variant;16.591533
Algeria;1970;Medium variant;16.38050214
Algeria;1965;Medium variant;16.35103361
Algeria;1960;Medium variant;17.57973456
Algeria;1955;Medium variant;18.41611104
Algeria;1950;Medium variant;19.42236686
Angola;2015;Medium variant;16.39891293
Angola;2010;Medium variant;16.04020576
Angola;2005;Medium variant;16.04970205
Angola;2000;Medium variant;16.12157729
Angola;1995;Medium variant;16.14793073
Angola;1990;Medium variant;16.24228064
Angola;1985;Medium variant;16.49620888
Angola;1980;Medium variant;16.68074116
Angola;1975;Medium variant;16.81984446
Angola;1970;Medium variant;16.95933309
Angola;1965;Medium variant;17.45912131
Angola;1960;Medium variant;18.25338605
Angola;1955;Medium variant;18.87996065
Angola;1950;Medium variant;19.40148047
Antigua and Barbuda;2015;Medium variant;30.94652153
Antigua and Barbuda;2010;Medium variant;29.79559008
Antigua and Barbuda;2005;Medium variant;29.35503456
Antigua and Barbuda;2000;Medium variant;29.15477834
Antigua and Barbuda;1995;Medium variant;27.48806078
Antigua and Barbuda;1990;Medium variant;25.28927563
Antigua and Barbuda;1985;Medium variant;24.3078724
Antigua and Barbuda;1980;Medium variant;22.49130667
Antigua and Barbuda;1975;Medium variant;20.39057123
Antigua and Barbuda;1970;Medium variant;19.21687141
Antigua and Barbuda;1965;Medium variant;18.66064566
Antigua and Barbuda;1960;Medium variant;18.33599529
Antigua and Barbuda;1955;Medium variant;20.18567487
Antigua and Barbuda;1950;Medium variant;20.59344506
Argentina;2015;Medium variant;31.55306772
Argentina;2010;Medium variant;30.3450679
Argentina;2005;Medium variant;28.93175035
Argentina;2000;Medium variant;27.86066611
Argentina;1995;Medium variant;27.34724777
Argentina;1990;Medium variant;27.20197522
Argentina;1985;Medium variant;27.23253781
Argentina;1980;Medium variant;27.24304907
Argentina;1975;Medium variant;27.3644343
Argentina;1970;Medium variant;27.37778289
Argentina;1965;Medium variant;27.17815804
Argentina;1960;Medium variant;26.84974435
Argentina;1955;Medium variant;26.28606088
Argentina;1950;Medium variant;25.65690237
Armenia;2015;Medium variant;33.35715951
Armenia;2010;Medium variant;31.59330356
Armenia;2005;Medium variant;30.93167846
Armenia;2000;Medium variant;30.33171735
Armenia;1995;Medium variant;29.21552509
Armenia;1990;Medium variant;27.00500971
Armenia;1985;Medium variant;25.22726257
Armenia;1980;Medium variant;23.45816794
Armenia;1975;Medium variant;21.87165288
Armenia;1970;Medium variant;20.40915598
Armenia;1965;Medium variant;20.75914166
Armenia;1960;Medium variant;22.45899227
Armenia;1955;Medium variant;22.73667167
Armenia;1950;Medium variant;22.42331424
Aruba;2015;Medium variant;40.24425096
Aruba;2010;Medium variant;38.45969807
Aruba;2005;Medium variant;36.20122306
Aruba;2000;Medium variant;34.36385789
Aruba;1995;Medium variant;32.51406074
Aruba;1990;Medium variant;31.22248614
Aruba;1985;Medium variant;27.97442908
Aruba;1980;Medium variant;26.02546917
Aruba;1975;Medium variant;23.86449238
Aruba;1970;Medium variant;20.81992231
Aruba;1965;Medium variant;19.13180089
Aruba;1960;Medium variant;18.11391223
Aruba;1955;Medium variant;18.10239521
Aruba;1950;Medium variant;18.47632749
Australia;2015;Medium variant;37.41928344
Australia;2010;Medium variant;36.84714743
Australia;2005;Medium variant;36.5131293
Australia;2000;Medium variant;35.35430878
Australia;1995;Medium variant;33.66120603
Australia;1990;Medium variant;32.13267247
Australia;1985;Medium variant;30.78122187
Australia;1980;Medium variant;29.38775624
Australia;1975;Medium variant;28.15786926
Australia;1970;Medium variant;27.47388556
Australia;1965;Medium variant;28.3698338
Australia;1960;Medium variant;29.58070341
Australia;1955;Medium variant;30.17350047
Australia;1950;Medium variant;30.40576344
Austria;2015;Medium variant;43.26357491
Austria;2010;Medium variant;41.82746671
Austria;2005;Medium variant;39.93781784
Austria;2000;Medium variant;38.17701106
Austria;1995;Medium variant;36.26742838
Austria;1990;Medium variant;35.68294198
Austria;1985;Medium variant;35.18532401
Austria;1980;Medium variant;34.91103003
Austria;1975;Medium variant;33.70613897
Austria;1970;Medium variant;33.92147962
Austria;1965;Medium variant;35.02833023
Austria;1960;Medium variant;35.58902641
Austria;1955;Medium variant;34.95489892
Austria;1950;Medium variant;35.6761101
Azerbaijan;2015;Medium variant;30.43467344
Azerbaijan;2010;Medium variant;28.60553321
