"iso3c","year","FID","FIA","FIE","FMD","FMA","FME"
"USA",1980,0.391161,0.3875493,0.0807679,0.2428406,0.0468857,0.3068025
"USA",1981,0.4473227,0.4557813,0.1072656,0.2855952,0.0641839,0.3608182
"USA",1982,0.4715239,0.4838117,0.1171452,0.3031592,0.091904,0.3830084
"USA",1983,0.4513217,0.4604022,0.1081625,0.2884907,0.0673647,0.3644764
"USA",1984,0.4855415,0.497216,0.1206491,0.3115584,0.1072485,0.39362
"USA",1985,0.541588,0.5574891,0.1378174,0.3493259,0.152025,0.441335
"USA",1986,0.6373929,0.6605802,0.2015744,0.4139234,0.1622537,0.5229468
"USA",1987,0.6482739,0.6773779,0.2150879,0.4244489,0.1154413,0.5362446
"USA",1988,0.6498945,0.6799744,0.217162,0.4260758,0.1109259,0.5383001
"USA",1989,0.6725014,0.7125261,0.2410659,0.4976531,0.1105199,0.6287301
"USA",1990,0.6650051,0.6982254,0.2301615,0.375593,0.0938768,0.5238366
"USA",1991,0.6877229,0.718029,0.2495736,0.5181992,0.1242318,0.6002625
"USA",1992,0.70564,0.7238715,0.2627651,0.4810939,0.108809,0.4767983
"USA",1993,0.755185,0.7657083,0.3827891,0.6180651,0.5815181,0.6849285
"USA",1994,0.7609056,0.7657076,0.3976701,0.5837623,0.468005,0.6865175
"USA",1995,0.7988783,0.7805086,0.4750935,0.7493784,0.5652091,0.8419154
"USA",1996,0.816825,0.790567,0.4763726,0.8729064,0.6132473,0.9122202
"USA",1997,0.8315325,0.8028403,0.4751084,0.9749762,0.638038,1
"USA",1998,0.8343502,0.8163663,0.4737407,0.9749691,0.6530706,1
"USA",1999,0.8386221,0.7989062,0.4275824,0.9749593,0.8055621,1
"USA",2000,0.8460339,0.8410609,0.469759,0.9749483,0.709303,1
"USA",2001,0.8522183,0.840395,0.4701064,0.9749415,0.7408151,1
"USA",2002,0.8525342,0.8306156,0.4741529,0.9671928,0.7375519,1
