"iso3c","year","CLandPR"
"AFG","1980",7
"AFG","1981",7
"AFG","1982",7
"AFG","1983",7
"AFG","1984",7
"AFG","1985",7
"AFG","1986",7
"AFG","1987",7
"AFG","1988",6
"AFG","1989",7
"AFG","1990",7
"AFG","1991",7
"AFG","1992",6
"AFG","1993",7
"AFG","1994",7
"AFG","1995",7
"AFG","1996",7
"AFG","1997",7
"AFG","1998",7
"AFG","1999",7
"AFG","2000",7
"AFG","2001",7
"AFG","2002",6
"AFG","2003",6
"AFG","2004",5.5
"AFG","2005",5
"AFG","2006",5
"AFG","2007",5
"AFG","2008",5.5
"AFG","2009",6
"AFG","2010",6
"AFG","2011",6
"AFG","2012",6
"AFG","2013",6
"AFG","2014",6
"AFG","2015",6
"AFG","2016",6
"AFG","2017",5.5
"ALB","1980",7
"ALB","1981",7
"ALB","1982",7
"ALB","1983",7
"ALB","1984",7
"ALB","1985",7
"ALB","1986",7
"ALB","1987",7
"ALB","1988",7
"ALB","1989",7
"ALB","1990",6.5
"ALB","1991",4
"ALB","1992",3.5
"ALB","1993",3
"ALB","1994",3.5
"ALB","1995",3.5
"ALB","1996",4
"ALB","1997",4
"ALB","1998",4.5
"ALB","1999",4.5
"ALB","2000",4.5
"ALB","2001",3.5
"ALB","2002",3
"ALB","2003",3
"ALB","2004",3
"ALB","2005",3
"ALB","2006",3
"ALB","2007",3
"ALB","2008",3
"ALB","2009",3
"ALB","2010",3
"ALB","2011",3
"ALB","2012",3
"ALB","2013",3
"ALB","2014",3
"ALB","2015",3
"ALB","2016",3
"ALB","2017",3
"DZA","1980",6
"DZA","1981",6
"DZA","1982",6
"DZA","1983",6
"DZA","1984",6
"DZA","1985",6
"DZA","1986",6
"DZA","1987",6
"DZA","1988",5.5
"DZA","1989",5
"DZA","1990",4
"DZA","1991",4
"DZA","1992",6.5
"DZA","1993",6.5
"DZA","1994",7
"DZA","1995",6
"DZA","1996",6
"DZA","1997",6
"DZA","1998",5.5
"DZA","1999",5.5
"DZA","2000",5.5
"DZA","2001",5.5
"DZA","2002",5.5
"DZA","2003",5.5
"DZA","2004",5.5
"DZA","2005",5.5
"DZA","2006",5.5
"DZA","2007",5.5
"DZA","2008",5.5
"DZA","2009",5.5
"DZA","2010",5.5
"DZA","2011",5.5
"DZA","2012",5.5
"DZA","2013",5.5
"DZA","2014",5.5
"DZA","2015",5.5
"DZA","2016",5.5
"DZA","2017",5.5
"AND","1993",1.5
"AND","1994",1
"AND","1995",1
"AND","1996",1
"AND","1997",1
"AND","1998",1
"AND","1999",1
"AND","2000",1
"AND","2001",1
"AND","2002",1
"AND","2003",1
"AND","2004",1
"AND","2005",1
"AND","2006",1
"AND","2007",1
"AND","2008",1
"AND","2009",1
"AND","2010",1
"AND","2011",1
"AND","2012",1
"AND","2013",1
"AND","2014",1
"AND","2015",1
"AND","2016",1
"AND","2017",1
"AGO","1980",7
"AGO","1981",7
"AGO","1982",7
"AGO","1983",7
"AGO","1984",7
"AGO","1985",7
"AGO","1986",7
"AGO","1987",7
"AGO","1988",7
"AGO","1989",7
"AGO","1990",7
"AGO","1991",5
"AGO","1992",6
"AGO","1993",7
"AGO","1994",7
"AGO","1995",6
"AGO","1996",6
"AGO","1997",6
"AGO","1998",6
"AGO","1999",6
