"year","iso3c","PrEdu","SecEdu","TerEdu"
1980,"AFG",0.96,1.15,1.96
1985,"AFG",1.91,1.54,2.49
1990,"AFG",3.6,1.81,2.91
1995,"AFG",5.19,2.98,3.28
2000,"AFG",7.78,4.69,3.5
2005,"AFG",8.8,6.56,3.61
2010,"AFG",12.86,8.65,3.65
2015,"AFG",18.5,12.6,3.7
1980,"ALB",18.77,17.04,2.12
1985,"ALB",15.9,22.44,2.66
1990,"ALB",12.61,25.59,3
1995,"ALB",11.98,24.86,3.17
2000,"ALB",13.92,26.63,3.51
2005,"ALB",11.18,32.92,2.35
2010,"ALB",9.03,42.9,0.93
2015,"ALB",2.4,51.7,1
1980,"ARE",3.26,16.07,3.21
1985,"ARE",3.76,19.69,4.75
1990,"ARE",4.67,23.53,6.42
1995,"ARE",5.53,27.67,8.66
2000,"ARE",8.61,29.96,9.7
2005,"ARE",11.5,32.2,9.01
2010,"ARE",11.27,35.68,8.54
2015,"ARE",10,41.5,8
1980,"ARG",32.56,15.86,3.43
1985,"ARG",34.35,17.07,4.99
1990,"ARG",32.99,19.38,5.77
1995,"ARG",34.37,23.21,4.32
2000,"ARG",34.1,24.53,3.1
2005,"ARG",33.14,28.94,3.09
2010,"ARG",31.86,31.07,2.87
2015,"ARG",29,35.8,2.1
1980,"ARM",13.43,51.54,7.78
1985,"ARM",11.78,54.86,9.32
1990,"ARM",9.7,57.82,10.04
1995,"ARM",8.33,59.33,10.47
2000,"ARM",6.24,61.77,10.08
2005,"ARM",5.87,60.35,11.51
2010,"ARM",4.67,57.12,15.03
2015,"ARM",2,58.7,16.1
1980,"AUS",3.2,51.82,13.05
1985,"AUS",4.17,52.42,13.21
1990,"AUS",5.15,52.83,13.9
1995,"AUS",6.31,50.62,15.87
2000,"AUS",6.8,57.04,13.15
2005,"AUS",6.6,55.98,15.63
2010,"AUS",5.21,38.49,18.52
2015,"AUS",4.7,44.2,15.4
1980,"AUT",35.59,26.33,1.55
1985,"AUT",32.93,30.13,2.47
1990,"AUT",29.59,34.97,2.97
1995,"AUT",25.87,37.41,5.21
2000,"AUT",23.12,38.76,7.06
2005,"AUT",20.5,39.19,8.27
2010,"AUT",18.4,40.81,9.37
2015,"AUT",13.9,51.8,8.3
1980,"BDI",10.47,1,0.19
1985,"BDI",11.67,1.22,0.25
1990,"BDI",13.34,1.59,0.24
1995,"BDI",17.47,2.19,0.24
2000,"BDI",21.59,2.68,0.24
2005,"BDI",24.22,3.52,0.34
2010,"BDI",25.98,4.97,0.54
2015,"BDI",31.6,6.4,0.8
1980,"BEL",33.31,16.5,9.04
1985,"BEL",25.21,19.82,11.2
1990,"BEL",19.81,22.73,12.98
1995,"BEL",15.69,30.12,14.51
2000,"BEL",11.36,29.65,14.95
2005,"BEL",9.64,34.15,15.82
2010,"BEL",9.5,33.24,17.69
2015,"BEL",5.2,39.9,20.9
1980,"BEN",5.48,2.08,0.14
1985,"BEN",6.76,3.52,0.41
1990,"BEN",8.53,5.51,0.52
1995,"BEN",10.52,7.54,0.81
2000,"BEN",11.25,10.36,1.01
2005,"BEN",11.69,14.02,1.36
2010,"BEN",12.18,17.77,2.01
2015,"BEN",15.2,21,2.7
1980,"BGD",15.7,4.89,0.54
1985,"BGD",19.65,6.59,1.08
1990,"BGD",21.16,8.05,1.44
1995,"BGD",21.85,10.62,1.97
2000,"BGD",20.99,17.62,1.98
2005,"BGD",19.8,21.48,2.11
2010,"BGD",21.36,24.97,2.28
2015,"BGD",20.7,30.4,2.3
1980,"BGR",36.46,15.21,7.25
