"iso3c","year","kaopen"
"USA",1980,2.34670782089233
"USA",1981,2.34670782089233
"USA",1982,2.34670782089233
"USA",1983,2.34670782089233
"USA",1984,2.34670782089233
"USA",1985,2.34670782089233
"USA",1986,2.34670782089233
"USA",1987,2.34670782089233
"USA",1988,2.34670782089233
"USA",1989,2.34670782089233
"USA",1990,2.34670782089233
"USA",1991,2.34670782089233
"USA",1992,2.34670782089233
"USA",1993,2.34670782089233
"USA",1994,2.34670782089233
"USA",1995,2.34670782089233
"USA",1996,2.34670782089233
"USA",1997,2.34670782089233
"USA",1998,2.34670782089233
"USA",1999,2.34670782089233
"USA",2000,2.34670782089233
"USA",2001,2.34670782089233
"USA",2002,2.34670782089233
"USA",2003,2.34670782089233
"USA",2004,2.34670782089233
"USA",2005,2.34670782089233
"USA",2006,2.34670782089233
"USA",2007,2.34670782089233
"USA",2008,2.34670782089233
"USA",2009,2.34670782089233
"USA",2010,2.34670782089233
"USA",2011,2.34670782089233
"USA",2012,2.34670782089233
"USA",2013,2.34670782089233
"USA",2014,2.34670782089233
"USA",2015,2.34670782089233
"USA",2016,2.34670782089233
"USA",2017,2.34670782089233
"GBR",1980,1.57779693603516
"GBR",1981,1.83410060405731
"GBR",1982,2.09040427207947
"GBR",1983,2.34670782089233
"GBR",1984,2.34670782089233
"GBR",1985,2.34670782089233
"GBR",1986,2.34670782089233
"GBR",1987,2.34670782089233
"GBR",1988,2.34670782089233
"GBR",1989,2.34670782089233
"GBR",1990,2.34670782089233
"GBR",1991,2.34670782089233
"GBR",1992,2.34670782089233
"GBR",1993,2.34670782089233
"GBR",1994,2.34670782089233
"GBR",1995,2.34670782089233
"GBR",1996,2.34670782089233
"GBR",1997,2.34670782089233
"GBR",1998,2.34670782089233
"GBR",1999,2.34670782089233
"GBR",2000,2.34670782089233
"GBR",2001,2.34670782089233
"GBR",2002,2.34670782089233
"GBR",2003,2.34670782089233
"GBR",2004,2.34670782089233
"GBR",2005,2.34670782089233
"GBR",2006,2.34670782089233
"GBR",2007,2.34670782089233
"GBR",2008,2.34670782089233
"GBR",2009,2.34670782089233
"GBR",2010,2.34670782089233
"GBR",2011,2.34670782089233
"GBR",2012,2.34670782089233
"GBR",2013,2.34670782089233
"GBR",2014,2.34670782089233
"GBR",2015,2.34670782089233
"GBR",2016,2.34670782089233
"GBR",2017,2.34670782089233
"AUT",1980,1.06518971920013
"AUT",1981,1.06518971920013
"AUT",1982,1.06518971920013
"AUT",1983,1.06518971920013
"AUT",1984,1.06518971920013
"AUT",1985,1.06518971920013
"AUT",1986,1.06518971920013
"AUT",1987,1.06518971920013
"AUT",1988,1.06518971920013
"AUT",1989,1.06518971920013
"AUT",1990,1.06518971920013
"AUT",1991,1.32149338722229
"AUT",1992,1.57779693603516
"AUT",1993,1.83410060405731
"AUT",1994,2.09040427207947
"AUT",1995,2.34670782089233
"AUT",1996,2.34670782089233
"AUT",1997,2.34670782089233
"AUT",1998,2.34670782089233
"AUT",1999,2.34670782089233
"AUT",2000,2.34670782089233
"AUT",2001,2.34670782089233
"AUT",2002,2.34670782089233
"AUT",2003,2.34670782089233
"AUT",2004,2.34670782089233
"AUT",2005,2.34670782089233
"AUT",2006,2.34670782089233
"AUT",2007,2.34670782089233
"AUT",2008,2.34670782089233
"AUT",2009,2.34670782089233
"AUT",2010,2.34670782089233
"AUT",2011,2.34670782089233
"AUT",2012,2.34670782089233
"AUT",2013,2.34670782089233
"AUT",2014,2.34670782089233
"AUT",2015,2.34670782089233
"AUT",2016,2.34670782089233
"AUT",2017,2.34670782089233
"BEL",1980,0.433834552764893
"BEL",1981,0.433834552764893
"BEL",1982,0.433834552764893
"BEL",1983,0.433834552764893
"BEL",1984,0.433834552764893
"BEL",1985,0.433834552764893
"BEL",1986,0.433834552764893
"BEL",1987,0.433834552764893
"BEL",1988,0.433834552764893
"BEL",1989,0.433834552764893
"BEL",1990,2.34670782089233
"BEL",1991,2.34670782089233
"BEL",1992,2.34670782089233
"BEL",1993,2.34670782089233
"BEL",1994,2.34670782089233
"BEL",1995,2.34670782089233
"BEL",1996,2.09040427207947
"BEL",1997,1.83410060405731
"BEL",1998,1.57779693603516
"BEL",1999,1.57779693603516
"BEL",2000,1.57779693603516
"BEL",2001,1.83410060405731
"BEL",2002,2.09040427207947
"BEL",2003,2.34670782089233
"BEL",2004,2.34670782089233
"BEL",2005,2.34670782089233
"BEL",2006,2.34670782089233
"BEL",2007,2.34670782089233
"BEL",2008,2.34670782089233
"BEL",2009,2.34670782089233
"BEL",2010,2.34670782089233
"BEL",2011,2.34670782089233
"BEL",2012,2.34670782089233
"BEL",2013,2.34670782089233
"BEL",2014,2.34670782089233
"BEL",2015,2.34670782089233
"BEL",2016,2.34670782089233
"BEL",2017,2.34670782089233
"DNK",1980,-0.141151502728462
"DNK",1981,-0.141151502728462
"DNK",1982,-0.141151502728462
"DNK",1983,-0.141151502728462
"DNK",1984,-0.141151502728462
"DNK",1985,-0.141151502728462
"DNK",1986,-0.141151502728462
"DNK",1987,-0.141151502728462
"DNK",1988,1.32149338722229
"DNK",1989,1.57779693603516
"DNK",1990,1.83410060405731
"DNK",1991,2.09040427207947
"DNK",1992,2.34670782089233
"DNK",1993,2.34670782089233
"DNK",1994,2.34670782089233
"DNK",1995,2.34670782089233
"DNK",1996,2.34670782089233
"DNK",1997,2.34670782089233
"DNK",1998,2.34670782089233
"DNK",1999,2.34670782089233
"DNK",2000,2.34670782089233
"DNK",2001,2.34670782089233
"DNK",2002,2.34670782089233
"DNK",2003,2.34670782089233
"DNK",2004,2.34670782089233
"DNK",2005,2.34670782089233
"DNK",2006,2.34670782089233
"DNK",2007,2.34670782089233
"DNK",2008,2.34670782089233
"DNK",2009,2.34670782089233
"DNK",2010,2.34670782089233
"DNK",2011,2.34670782089233
"DNK",2012,2.34670782089233
"DNK",2013,2.34670782089233
"DNK",2014,2.34670782089233
"DNK",2015,2.34670782089233
"DNK",2016,2.34670782089233
"DNK",2017,2.34670782089233
"FRA",1980,-0.141151502728462
"FRA",1981,-0.141151502728462
"FRA",1982,-1.21001923084259
"FRA",1983,-0.141151502728462
"FRA",1984,-0.141151502728462
"FRA",1985,-0.141151502728462
"FRA",1986,-0.141151502728462
"FRA",1987,-0.141151502728462
"FRA",1988,-0.141151502728462
"FRA",1989,-0.141151502728462
"FRA",1990,0.11515212059021
"FRA",1991,0.371455758810043
"FRA",1992,0.627759397029877
"FRA",1993,2.09040427207947
"FRA",1994,2.34670782089233
"FRA",1995,2.34670782089233
"FRA",1996,2.34670782089233
"FRA",1997,2.34670782089233
"FRA",1998,2.34670782089233
"FRA",1999,2.34670782089233
"FRA",2000,2.34670782089233
"FRA",2001,2.34670782089233
"FRA",2002,2.34670782089233
"FRA",2003,2.34670782089233
"FRA",2004,2.34670782089233
"FRA",2005,2.34670782089233
"FRA",2006,2.34670782089233
"FRA",2007,2.34670782089233
"FRA",2008,2.34670782089233
"FRA",2009,2.34670782089233
"FRA",2010,2.34670782089233
"FRA",2011,2.34670782089233
"FRA",2012,2.34670782089233
"FRA",2013,2.34670782089233
"FRA",2014,2.34670782089233
"FRA",2015,2.34670782089233
"FRA",2016,2.34670782089233
"FRA",2017,2.34670782089233
"DEU",1980,2.34670782089233
"DEU",1981,2.34670782089233
"DEU",1982,2.34670782089233
"DEU",1983,2.34670782089233
"DEU",1984,2.34670782089233
"DEU",1985,2.34670782089233
"DEU",1986,2.34670782089233
"DEU",1987,2.34670782089233
"DEU",1988,2.34670782089233
"DEU",1989,2.34670782089233
"DEU",1990,2.34670782089233
"DEU",1991,2.34670782089233
"DEU",1992,2.34670782089233
"DEU",1993,2.34670782089233
"DEU",1994,2.34670782089233
"DEU",1995,2.34670782089233
"DEU",1996,2.34670782089233
"DEU",1997,2.34670782089233
"DEU",1998,2.34670782089233
"DEU",1999,2.34670782089233
"DEU",2000,2.34670782089233
"DEU",2001,2.34670782089233
"DEU",2002,2.34670782089233
"DEU",2003,2.34670782089233
"DEU",2004,2.34670782089233
"DEU",2005,2.34670782089233
"DEU",2006,2.34670782089233
"DEU",2007,2.34670782089233
"DEU",2008,2.34670782089233
"DEU",2009,2.34670782089233
"DEU",2010,2.34670782089233
"DEU",2011,2.34670782089233
"DEU",2012,2.34670782089233
"DEU",2013,2.34670782089233
"DEU",2014,2.34670782089233
"DEU",2015,2.34670782089233
"DEU",2016,2.34670782089233
"DEU",2017,2.34670782089233
"SMR",1980,NA
"SMR",1981,NA
"SMR",1982,NA
"SMR",1983,NA
"SMR",1984,NA
"SMR",1985,NA
"SMR",1986,NA
"SMR",1987,NA
"SMR",1988,NA
"SMR",1989,NA
"SMR",1990,NA
"SMR",1991,NA
"SMR",1992,NA
"SMR",1993,NA
"SMR",1994,NA
"SMR",1995,NA
"SMR",1996,2.34670782089233
"SMR",1997,2.34670782089233
"SMR",1998,2.09040427207947
"SMR",1999,1.83410060405731
"SMR",2000,1.57779693603516
"SMR",2001,1.32149338722229
"SMR",2002,1.06518971920013
"SMR",2003,1.06518971920013
"SMR",2004,1.06518971920013
"SMR",2005,1.06518971920013
"SMR",2006,1.06518971920013
"SMR",2007,1.06518971920013
"SMR",2008,1.06518971920013
"SMR",2009,1.06518971920013
"SMR",2010,1.06518971920013
"SMR",2011,1.06518971920013
"SMR",2012,1.06518971920013
"SMR",2013,1.06518971920013
"SMR",2014,1.06518971920013
"SMR",2015,1.06518971920013
"SMR",2016,1.06518971920013
"SMR",2017,1.06518971920013
"ITA",1980,-1.91655135154724
"ITA",1981,-1.91655135154724
"ITA",1982,-0.141151502728462
"ITA",1983,-0.141151502728462
"ITA",1984,-0.141151502728462
"ITA",1985,-0.141151502728462
"ITA",1986,-0.141151502728462
"ITA",1987,-0.141151502728462
"ITA",1988,-0.141151502728462
"ITA",1989,-0.141151502728462
"ITA",1990,0.11515212059021
