"year","EducIndex","iso3c"
1990,0.122,"AFG"
1990,0.584,"ALB"
1990,0.385,"DZA"
1990,NA,"AND"
1990,NA,"AGO"
1990,NA,"ATG"
1990,0.628,"ARG"
1990,0.634,"ARM"
1990,0.873,"AUS"
1990,0.676,"AUT"
1990,NA,"AZE"
1990,NA,"BHS"
1990,0.574,"BHR"
1990,0.251,"BGD"
1990,0.625,"BRB"
1990,NA,"BLR"
1990,0.705,"BEL"
1990,0.573,"BLZ"
1990,0.201,"BEN"
1990,NA,"BTN"
1990,0.528,"BOL"
1990,NA,"BIH"
1990,0.461,"BWA"
1990,0.463,"BRA"
1990,0.588,"BRN"
1990,0.632,"BGR"
1990,NA,"BFA"
1990,0.171,"BDI"
1990,NA,"CPV"
1990,0.276,"KHM"
1990,0.339,"CMR"
1990,0.806,"CAN"
1990,0.214,"CAF"
1990,NA,"TCD"
1990,0.626,"CHL"
1990,0.405,"CHN"
1990,0.433,"COL"
1990,NA,"COM"
1990,0.455,"COG"
1990,0.263,"COD"
1990,0.505,"CRI"
1990,0.498,"HRV"
1990,0.624,"CUB"
1990,0.546,"CYP"
1990,0.609,"CZE"
1990,0.233,"CIV"
1990,0.69,"DNK"
1990,NA,"DJI"
1990,NA,"DMA"
1990,0.485,"DOM"
1990,0.551,"ECU"
1990,0.389,"EGY"
1990,0.382,"SLV"
1990,NA,"GNQ"
1990,NA,"ERI"
1990,0.675,"EST"
1990,0.407,"SWZ"
1990,NA,"ETH"
1990,0.616,"FJI"
1990,0.666,"FIN"
1990,0.632,"FRA"
1990,0.473,"GAB"
1990,0.183,"GMB"
1990,NA,"GEO"
1990,0.692,"DEU"
1990,0.375,"GHA"
1990,0.607,"GRC"
1990,NA,"GRD"
1990,0.284,"GTM"
1990,0.121,"GIN"
1990,NA,"GNB"
1990,0.507,"GUY"
1990,0.288,"HTI"
1990,0.355,"HND"
1990,0.64,"HKG"
1990,0.598,"HUN"
1990,0.678,"ISL"
1990,0.311,"IND"
1990,0.389,"IDN"
1990,0.397,"IRN"
1990,0.373,"IRQ"
1990,0.661,"IRL"
1990,0.714,"ISR"
1990,0.599,"ITA"
1990,0.509,"JAM"
1990,0.691,"JPN"
1990,0.496,"JOR"
1990,0.613,"KAZ"
1990,0.376,"KEN"
1990,NA,"KIR"
1990,0.676,"KOR"
1990,0.476,"KWT"
1990,0.619,"KGZ"
1990,0.288,"LAO"
1990,0.604,"LVA"
1990,NA,"LBN"
1990,0.415,"LSO"
1990,NA,"LBR"
1990,0.516,"LBY"
1990,NA,"LIE"
1990,0.655,"LTU"
1990,0.602,"LUX"
1990,NA,"MDG"
1990,0.231,"MWI"
1990,0.488,"MYS"
1990,NA,"MDV"
1990,0.081,"MLI"
1990,0.605,"MLT"
1990,NA,"MHL"
1990,0.178,"MRT"
1990,0.481,"MUS"
1990,0.48,"MEX"
1990,NA,"FSM"
1990,0.598,"MDA"
1990,0.539,"MNG"
1990,NA,"MNE"
1990,0.254,"MAR"
1990,0.131,"MOZ"
1990,0.251,"MMR"
1990,0.495,"NAM"
1990,0.276,"NPL"
1990,0.746,"NLD"
1990,0.787,"NZL"
1990,0.349,"NIC"
1990,0.082,"NER"
1990,NA,"NGA"
1990,0.772,"NOR"
1990,NA,"OMN"
1990,0.205,"PAK"
1990,NA,"PLW"
1990,NA,"PSE"
1990,0.538,"PAN"
1990,0.207,"PNG"
1990,0.431,"PRY"
1990,0.551,"PER"
1990,0.519,"PHL"
1990,0.665,"POL"
1990,0.536,"PRT"
1990,0.507,"QAT"
1990,0.632,"ROU"
1990,0.663,"RUS"
1990,0.218,"RWA"
1990,NA,"KNA"
1990,NA,"LCA"
1990,NA,"VCT"
1990,0.577,"WSM"
1990,0.323,"STP"
1990,0.489,"SAU"
1990,0.198,"SEN"
1990,0.61,"SRB"
1990,NA,"SYC"
1990,0.19,"SLE"
1990,0.488,"SGP"
1990,0.679,"SVK"
1990,0.696,"SVN"
1990,NA,"SLB"
1990,0.532,"ZAF"
1990,NA,"SSD"
1990,0.591,"ESP"
1990,0.592,"LKA"
1990,0.159,"SDN"
1990,NA,"SUR"
1990,0.71,"SWE"
1990,0.695,"CHE"
1990,0.417,"SYR"
1990,0.652,"TJK"
1990,0.273,"TZA"
1990,0.387,"THA"
1990,NA,"MKD"
1990,NA,"TLS"
1990,0.31,"TGO"
1990,0.656,"TON"
1990,0.575,"TTO"
1990,0.406,"TUN"
1990,0.399,"TUR"
1990,NA,"TKM"
1990,0.25,"UGA"
1990,0.648,"UKR"
1990,0.484,"ARE"
1990,0.644,"GBR"
1990,0.836,"USA"
1990,0.597,"URY"
1990,NA,"UZB"
1990,NA,"VUT"
1990,0.444,"VEN"
1990,0.348,"VNM"
1990,0.219,"YEM"
1990,0.365,"ZMB"
1990,0.423,"ZWE"
1991,0.133,"AFG"
1991,0.589,"ALB"
1991,0.395,"DZA"
1991,NA,"AND"
1991,NA,"AGO"
1991,NA,"ATG"
1991,0.632,"ARG"
1991,0.637,"ARM"
1991,0.874,"AUS"
1991,0.683,"AUT"
1991,NA,"AZE"
1991,NA,"BHS"
1991,0.586,"BHR"
1991,0.26,"BGD"
1991,0.632,"BRB"
1991,NA,"BLR"
1991,0.708,"BEL"
1991,0.582,"BLZ"
1991,0.208,"BEN"
1991,NA,"BTN"
1991,0.537,"BOL"
1991,NA,"BIH"
1991,0.478,"BWA"
1991,0.475,"BRA"
1991,0.596,"BRN"
1991,0.637,"BGR"
1991,NA,"BFA"
1991,0.176,"BDI"
1991,NA,"CPV"
1991,0.28,"KHM"
1991,0.342,"CMR"
1991,0.818,"CAN"
1991,0.207,"CAF"
1991,NA,"TCD"
1991,0.638,"CHL"
1991,0.411,"CHN"
1991,0.438,"COL"
1991,NA,"COM"
1991,0.455,"COG"
1991,0.266,"COD"
1991,0.515,"CRI"
1991,0.508,"HRV"
1991,0.626,"CUB"
1991,0.553,"CYP"
1991,0.609,"CZE"
1991,0.238,"CIV"
1991,0.7,"DNK"
1991,NA,"DJI"
1991,NA,"DMA"
1991,0.493,"DOM"
1991,0.549,"ECU"
1991,0.392,"EGY"
1991,0.384,"SLV"
1991,NA,"GNQ"
1991,NA,"ERI"
1991,0.676,"EST"
1991,0.412,"SWZ"
1991,NA,"ETH"
1991,0.635,"FJI"
1991,0.68,"FIN"
1991,0.65,"FRA"
1991,0.48,"GAB"
1991,0.188,"GMB"
1991,NA,"GEO"
1991,0.705,"DEU"
1991,0.381,"GHA"
1991,0.624,"GRC"
1991,NA,"GRD"
1991,0.289,"GTM"
1991,0.125,"GIN"
1991,NA,"GNB"
1991,0.512,"GUY"
1991,0.294,"HTI"
1991,0.357,"HND"
1991,0.645,"HKG"
1991,0.609,"HUN"
1991,0.71,"ISL"
1991,0.317,"IND"
1991,0.391,"IDN"
1991,0.414,"IRN"
1991,0.377,"IRQ"
1991,0.666,"IRL"
1991,0.729,"ISR"
1991,0.609,"ITA"
1991,0.513,"JAM"
1991,0.697,"JPN"
1991,0.527,"JOR"
1991,0.619,"KAZ"
1991,0.379,"KEN"
1991,NA,"KIR"
1991,0.686,"KOR"
1991,0.429,"KWT"
1991,0.616,"KGZ"
1991,0.294,"LAO"
1991,0.61,"LVA"
1991,NA,"LBN"
1991,0.418,"LSO"
1991,NA,"LBR"
1991,0.527,"LBY"
1991,NA,"LIE"
1991,0.658,"LTU"
1991,0.61,"LUX"
1991,NA,"MDG"
1991,0.239,"MWI"
1991,0.499,"MYS"
1991,NA,"MDV"
1991,0.085,"MLI"
1991,0.61,"MLT"
1991,NA,"MHL"
1991,0.184,"MRT"
1991,0.489,"MUS"
1991,0.481,"MEX"
1991,NA,"FSM"
1991,0.597,"MDA"
1991,0.527,"MNG"
1991,NA,"MNE"
1991,0.258,"MAR"
1991,0.133,"MOZ"
1991,0.268,"MMR"
1991,0.496,"NAM"
1991,0.283,"NPL"
1991,0.756,"NLD"
1991,0.797,"NZL"
1991,0.366,"NIC"
1991,0.084,"NER"
1991,NA,"NGA"
1991,0.782,"NOR"
1991,NA,"OMN"
1991,0.21,"PAK"
1991,NA,"PLW"
1991,NA,"PSE"
1991,0.543,"PAN"
1991,0.214,"PNG"
1991,0.442,"PRY"
1991,0.556,"PER"
1991,0.523,"PHL"
1991,0.671,"POL"
1991,0.55,"PRT"
1991,0.503,"QAT"
1991,0.609,"ROU"
1991,0.664,"RUS"
1991,0.222,"RWA"
1991,NA,"KNA"
1991,NA,"LCA"
1991,NA,"VCT"
1991,0.582,"WSM"
1991,0.331,"STP"
1991,0.495,"SAU"
1991,0.198,"SEN"
1991,0.618,"SRB"
1991,NA,"SYC"
1991,0.184,"SLE"
1991,0.503,"SGP"
1991,0.686,"SVK"
1991,0.699,"SVN"
1991,NA,"SLB"
1991,0.552,"ZAF"
1991,NA,"SSD"
1991,0.609,"ESP"
1991,0.6,"LKA"
1991,0.167,"SDN"
1991,NA,"SUR"
1991,0.715,"SWE"
1991,0.701,"CHE"
1991,0.419,"SYR"
1991,0.658,"TJK"
1991,0.278,"TZA"
1991,0.398,"THA"
1991,NA,"MKD"
1991,NA,"TLS"
1991,0.322,"TGO"
1991,0.662,"TON"
1991,0.575,"TTO"
1991,0.413,"TUN"
1991,0.404,"TUR"
1991,NA,"TKM"
1991,0.254,"UGA"
1991,0.654,"UKR"
1991,0.504,"ARE"
1991,0.675,"GBR"
1991,0.84,"USA"
1991,0.601,"URY"
1991,NA,"UZB"
1991,NA,"VUT"
1991,0.457,"VEN"
1991,0.361,"VNM"
1991,0.222,"YEM"
1991,0.38,"ZMB"
1991,0.441,"ZWE"
1992,0.145,"AFG"
1992,0.558,"ALB"
1992,0.405,"DZA"
1992,NA,"AND"
1992,NA,"AGO"
1992,NA,"ATG"
1992,0.634,"ARG"
1992,0.636,"ARM"
1992,0.874,"AUS"
1992,0.692,"AUT"
1992,NA,"AZE"
1992,NA,"BHS"
1992,0.586,"BHR"
1992,0.268,"BGD"
1992,0.639,"BRB"
1992,NA,"BLR"
1992,0.745,"BEL"
1992,0.591,"BLZ"
1992,0.215,"BEN"
1992,NA,"BTN"
1992,0.546,"BOL"
1992,NA,"BIH"
1992,0.486,"BWA"
1992,0.487,"BRA"
1992,0.604,"BRN"
1992,0.635,"BGR"
1992,NA,"BFA"
1992,0.172,"BDI"
1992,NA,"CPV"
1992,0.284,"KHM"
1992,0.343,"CMR"
1992,0.824,"CAN"
1992,0.189,"CAF"
1992,NA,"TCD"
1992,0.64,"CHL"
1992,0.42,"CHN"
1992,0.457,"COL"
1992,NA,"COM"
1992,0.457,"COG"
1992,0.27,"COD"
1992,0.526,"CRI"
1992,0.519,"HRV"
1992,0.627,"CUB"
1992,0.556,"CYP"
1992,0.612,"CZE"
1992,0.243,"CIV"
1992,0.708,"DNK"
1992,NA,"DJI"
1992,NA,"DMA"
1992,0.501,"DOM"
1992,0.553,"ECU"
1992,0.4,"EGY"
1992,0.396,"SLV"
1992,NA,"GNQ"
1992,NA,"ERI"
1992,0.683,"EST"
1992,0.413,"SWZ"
1992,NA,"ETH"
1992,0.647,"FJI"
1992,0.703,"FIN"
1992,0.67,"FRA"
1992,0.487,"GAB"
1992,0.194,"GMB"
1992,NA,"GEO"
1992,0.715,"DEU"
1992,0.386,"GHA"
1992,0.623,"GRC"
1992,NA,"GRD"
1992,0.294,"GTM"
1992,0.129,"GIN"
1992,NA,"GNB"
1992,0.517,"GUY"
1992,0.299,"HTI"
1992,0.362,"HND"
1992,0.65,"HKG"
1992,0.623,"HUN"
1992,0.722,"ISL"
1992,0.324,"IND"
1992,0.394,"IDN"
1992,0.432,"IRN"
1992,0.38,"IRQ"
1992,0.675,"IRL"
1992,0.74,"ISR"
1992,0.62,"ITA"
1992,0.519,"JAM"
1992,0.702,"JPN"
1992,0.561,"JOR"
1992,0.627,"KAZ"
1992,0.383,"KEN"
1992,NA,"KIR"
1992,0.694,"KOR"
1992,0.382,"KWT"
1992,0.615,"KGZ"
1992,0.299,"LAO"
1992,0.613,"LVA"
1992,NA,"LBN"
1992,0.419,"LSO"
1992,NA,"LBR"
1992,0.537,"LBY"
1992,NA,"LIE"
1992,0.651,"LTU"
1992,0.618,"LUX"
1992,NA,"MDG"
1992,0.271,"MWI"
1992,0.511,"MYS"
1992,NA,"MDV"
1992,0.091,"MLI"
1992,0.614,"MLT"
1992,NA,"MHL"
