"iso3c","year","BankAcc","BankBranches","StockOutTop10","PrivateCredit","MarketCap","NIM","MarketTurn","ZScore","StockVol"
"AFG",1980,NA,NA,NA,2.77226,NA,NA,NA,NA,NA
"AFG",1981,NA,NA,NA,2.55034,NA,NA,NA,NA,NA
"AFG",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG",2004,NA,"0.364464",NA,NA,NA,NA,NA,NA,NA
"AFG",2005,NA,"0.579815",NA,NA,NA,9.79808,NA,19.931,NA
"AFG",2006,NA,"0.918548",NA,4.75958,NA,9.86467,NA,32.4048,NA
"AFG",2007,NA,"1.23054",NA,5.64227,NA,8.21465,NA,20.6923,NA
"AFG",2008,"36.1814","1.46811",NA,8.25147,NA,10.3925,NA,12.9113,NA
"AFG",2009,"86.9145","2.2108",NA,8.96821,NA,11.0339,NA,17.2788,NA
"AFG",2010,"105.115","2.36948",NA,10.1738,NA,5.59061,NA,16.1513,NA
"AFG",2011,"138.489","2.20066",NA,7.63888,NA,6.44951,NA,12.2856,NA
"AFG",2012,"165.019","2.12089",NA,4.0621,NA,5.89362,NA,12.2303,NA
"AFG",2013,"154.763","2.23949",NA,3.98996,NA,6.19178,NA,12.2906,NA
"AFG",2014,"171.692","2.2894",NA,3.82216,NA,5.26145,NA,10.742,NA
"AFG",2015,"179.961","2.14789",NA,3.59565,NA,5.00389,NA,10.941,NA
"AFG",2016,"180.806","2.09421",NA,3.48158,NA,4.94282,NA,12.6593,NA
"AFG",2017,"164.883","2.0194",NA,3.41761,NA,4.35322,NA,11.4993,NA
"ALB",1980,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",1981,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",1982,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",1983,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",1984,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",1985,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",1986,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",1987,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",1988,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",1990,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",1991,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALB",1994,NA,NA,NA,3.09675,NA,NA,NA,NA,NA
"ALB",1995,NA,NA,NA,2.9211,NA,NA,NA,NA,NA
"ALB",1996,NA,NA,NA,2.90416,NA,NA,NA,NA,NA
"ALB",1997,NA,NA,NA,3.78163,NA,NA,NA,33.5574,NA
"ALB",1998,NA,NA,NA,3.6799,NA,0.909313,NA,8.63101,NA
"ALB",1999,NA,NA,NA,3.67696,NA,5.34561,NA,24.1877,NA
"ALB",2000,NA,NA,NA,4.11816,NA,5.2891,NA,16.6391,NA
"ALB",2001,NA,NA,NA,5.06254,NA,3.74375,NA,12.3279,NA
"ALB",2002,NA,NA,NA,6.03115,NA,3.28284,NA,13.3367,NA
"ALB",2003,NA,NA,NA,6.67009,NA,3.67504,NA,11.3573,NA
"ALB",2004,NA,"9.67682",NA,8.2237,NA,3.93559,NA,9.93488,NA
"ALB",2005,NA,"11.6961",NA,11.9643,NA,4.36876,NA,11.5178,NA
"ALB",2006,NA,"13.8239",NA,18.0396,NA,4.68315,NA,10.2745,NA
"ALB",2007,NA,"18.6014",NA,24.8008,NA,5.64571,NA,11.4096,NA
"ALB",2008,NA,"23.4987",NA,30.9969,NA,4.73853,NA,14.0533,NA
"ALB",2009,NA,"24.0059",NA,34.8475,NA,4.32977,NA,14.8334,NA
"ALB",2010,NA,"24.1304",NA,35.4586,NA,4.54253,NA,15.4106,NA
"ALB",2011,NA,"24.0938",NA,37.5687,NA,4.44764,NA,16.2329,NA
"ALB",2012,NA,"24.0173",NA,38.7385,NA,4.23761,NA,16.3585,NA
"ALB",2013,NA,"23.4091",NA,38.1747,NA,3.74442,NA,16.187,NA
"ALB",2014,NA,"21.9419",NA,37.1802,NA,3.70663,NA,16.0932,NA
"ALB",2015,NA,"21.8514",NA,36.2414,NA,3.38865,NA,16.9859,NA
"ALB",2016,"1100.51","21.5096",NA,34.6094,NA,3.52513,NA,17.9659,NA
"ALB",2017,"1085.48","20.5597",NA,32.9454,NA,4.21715,NA,15.9563,NA
"DZA",1980,NA,NA,NA,45.129,NA,NA,NA,NA,NA
"DZA",1981,NA,NA,NA,49.154,NA,NA,NA,NA,NA
"DZA",1982,NA,NA,NA,58.4538,NA,NA,NA,NA,NA
"DZA",1983,NA,NA,NA,61.851,NA,NA,NA,NA,NA
"DZA",1984,NA,NA,NA,62.2872,NA,NA,NA,NA,NA
"DZA",1985,NA,NA,NA,64.0912,NA,NA,NA,NA,NA
"DZA",1986,NA,NA,NA,68.2766,NA,NA,NA,NA,NA
"DZA",1987,NA,NA,NA,67.6265,NA,NA,NA,NA,NA
