"iso3c","year","corr","burreau","demAcc","lawOrder"
"AGO",1984,"3","2","2","2"
"AGO",1985,"3","2","3","2"
"AGO",1986,"3","2","3","2"
"AGO",1987,"3","2","3","2"
"AGO",1988,"3","2","3","2"
"AGO",1989,"3","2","2.91666666666667","2"
"AGO",1990,"3","2","2","1.16666666666667"
"AGO",1991,"3","2","2","1"
"AGO",1992,"3","1.25","1.66666666666667","1.25"
"AGO",1993,"3","1","3","1"
"AGO",1994,"3","1","3","1.41666666666667"
"AGO",1995,"3","1.66666666666667","3","2"
"AGO",1996,"3","3","3","2"
"AGO",1997,"2.33333333333333","1.58333333333333","3","2.58333333333333"
"AGO",1998,"2","0.916666666666667","3","3"
"AGO",1999,"2","1","3","3"
"AGO",2000,"2","1","3","3"
"AGO",2001,"2","1","3","3"
"AGO",2002,"2","1","3","3"
"AGO",2003,"2","1","3","3"
"AGO",2004,"2","1","2","3"
"AGO",2005,"2","1","2","3"
"AGO",2006,"2","1","2","3"
"AGO",2007,"2.00","1.33","2.00","3.00"
"AGO",2008,"2","1.5","2","3"
"AGO",2009,"2","1.5","2","3"
"AGO",2010,"2","1.5","2","3"
"AGO",2011,"2","1.5","2.5","2.5"
"AGO",2012,"1.66666666666667","1.5","2.5","2.5"
"AGO",2013,"1.5","1.5","2.5","2.5"
"AGO",2014,"1.45833333333333","1.5","2.5","2.5"
"AGO",2015,"1","1.5","2.5","2.5"
"AGO",2016,"1","1.5","2.5","2.5"
"AGO",2017,"1","1.5","2.5","2.5"
"ALB",1984,"4","1","4","4.66666666666667"
"ALB",1985,"4","1","4","4"
"ALB",1986,"4","1","4","4"
"ALB",1987,"4","1","4","4"
"ALB",1988,"4","1","4","4"
"ALB",1989,"4","1","4","4"
"ALB",1990,"4","1","4","4"
"ALB",1991,"4","1","3.16666666666667","2.83333333333333"
"ALB",1992,"3.25","1","3","2.08333333333333"
"ALB",1993,"4","1","3","3.33333333333333"
"ALB",1994,"4","1","3","4.66666666666667"
"ALB",1995,"3.83333333333333","1","3","4.66666666666667"
"ALB",1996,"2.75","1","3.08333333333333","4"
"ALB",1997,"2.25","1","4.08333333333333","2.83333333333333"
"ALB",1998,"3","1","5","3"
"ALB",1999,"2.33333333333333","1","5","2.41666666666667"
"ALB",2000,"2","1","5","2"
"ALB",2001,"2","1","4.54166666666667","2"
"ALB",2002,"2","1.5","3.95833333333333","2"
"ALB",2003,"2","2","4","2"
"ALB",2004,"2","2","4","2"
"ALB",2005,"1.83333333333333","2","4.33333333333333","2.20833333333333"
"ALB",2006,"1","2","5","2.5"
"ALB",2007,"1.00","2.00","4.54","2.50"
"ALB",2008,"1.5","2","4.83333333333333","2.5"
"ALB",2009,"1.5","2","5","2.5"
"ALB",2010,"1.91666666666667","2","5","2.5"
"ALB",2011,"2","2","5","2.5"
"ALB",2012,"2","2","5","2.5"
"ALB",2013,"2","2","5","2.5"
"ALB",2014,"2.16666666666667","2","5","2.5"
"ALB",2015,"2.5","2","5","2.5"
"ALB",2016,"2.5","2","5","2.5"
"ALB",2017,"2.5","2","5","2.5"
"ARE",1984,"3","2","1.58333333333333","2.66666666666667"
"ARE",1985,"3","2","2","3"
"ARE",1986,"3","2","2","3"
"ARE",1987,"3","2","2","3"
"ARE",1988,"3","2","2","3"
"ARE",1989,"3","2","2","3"
"ARE",1990,"3","2","2","3"
"ARE",1991,"3","2","2","3"
"ARE",1992,"2","2","2","4"
"ARE",1993,"2","2","2","4"
"ARE",1994,"2","2","2","4"
"ARE",1995,"2","2","2","4"
"ARE",1996,"2","2","2","4"
"ARE",1997,"2","2.41666666666667","2","4"
"ARE",1998,"2","3","2","4"
"ARE",1999,"2","3","2","4"
"ARE",2000,"2","3","2","4"
"ARE",2001,"2","3","2","4"
"ARE",2002,"2","3","2","4"
"ARE",2003,"2","3","2","4"
"ARE",2004,"2","3","2","4"
"ARE",2005,"2","3","2","4"
"ARE",2006,"2","3","2","4"
