"iso3c","year","EquipI","NonequipI"
"ABW",1980,0.493926445737953,1.09262046777927e-07
"ABW",1981,0.500611006840687,1.19159312601568e-07
"ABW",1982,0.50659262425088,1.26749120114665e-07
"ABW",1983,0.498648722874381,1.29125619031423e-07
"ABW",1984,0.494532064216879,1.33783120934612e-07
"ABW",1985,0.463932083133266,1.32866733838597e-07
"ABW",1986,0.466040287824077,1.44175922717203e-07
"ABW",1987,0.456764730367638,1.46632361686e-07
"ABW",1988,0.453912337661673,1.59338327497376e-07
"ABW",1989,0.477563737213711,1.80786288685329e-07
"ABW",1990,0.439740106843153,1.63156847332801e-07
"ABW",1991,0.571654703988296,2.71011703781558e-07
"ABW",1992,0.378038985477466,1.65522533664064e-07
"ABW",1993,0.412461481194142,1.86805858282763e-07
"ABW",1994,0.392409193064483,1.90935516568849e-07
"ABW",1995,0.368177640327158,1.90672841963004e-07
"ABW",1996,0.402042132262703,2.26737297105247e-07
"ABW",1997,0.422297588136011,1.87863988835091e-07
"ABW",1998,0.380867213722929,2.37277071310109e-07
"ABW",1999,0.314505955016659,3.07983340684286e-07
"ABW",2000,0.319616684779049,1.99220950830718e-07
"ABW",2001,0.276866340900629,3.04099370645187e-07
"ABW",2002,0.39965584011801,5.14881990395061e-07
"ABW",2003,0.418978311850664,6.77149336299804e-07
"ABW",2004,0.392386078973525,1.60902647471741e-06
"ABW",2005,0.458179049252298,6.98074770211539e-06
"ABW",2006,0.459974945195439,5.92980456118191e-06
"ABW",2007,0.455938796791632,5.38320836768524e-06
"ABW",2008,0.443042546886109,6.28811389084044e-06
"ABW",2009,0.451745820169041,0.00143938083095917
"ABW",2010,0.414690452157771,0.001439464842229
"ABW",2011,0.388575711747828,0.00127123925217163
"ABW",2012,0.380605067657181,0.00128138434281868
"ABW",2013,0.288180211096937,0.00111656490306334
"ABW",2014,0.30095899100425,0.000962405995749483
"ABW",2015,0.271371422816608,0.000933797183392034
"ABW",2016,0.309490940293266,0.000927248706734444
"ABW",2017,0.300687649624702,0.00104274437529769
"AGO",1980,0.37079834425173,0.000626628748270186
"AGO",1981,0.379837912762679,0.000710087237321424
"AGO",1982,0.430510295612449,0.000906365387551216
"AGO",1983,0.368374932709422,0.000712435290577661
