"iso3c","year","globFin","globRestrict","globSoc","globPol"
"ABW",1980,47.83232117,NA,68.25310516,5.435135365
"ABW",1981,47.65815353,NA,68.14309692,5.439244747
"ABW",1982,47.55867767,NA,67.96006012,5.446461201
"ABW",1983,47.60358047,NA,68.06751251,5.453166008
"ABW",1984,47.57990646,NA,68.24980927,5.466293812
"ABW",1985,47.35144424,NA,68.50617218,5.479620457
"ABW",1986,47.22800064,NA,68.783638,5.49229908
"ABW",1987,47.24205399,NA,68.99757385,5.505973339
"ABW",1988,47.37614059,NA,69.57900238,5.514754295
"ABW",1989,47.40834045,NA,70.00943756,5.490179062
"ABW",1990,47.57299042,NA,70.38684082,5.430421829
"ABW",1991,47.77105331,NA,70.54626465,5.361802101
"ABW",1992,48.00963211,NA,70.64835358,5.310012341
"ABW",1993,48.38044739,NA,70.73298645,5.251720428
"ABW",1994,48.69479752,NA,70.76473236,5.19123888
"ABW",1995,53.2755928,NA,71.2665863,5.138934135
"ABW",1996,54.19547653,NA,70.8347702,5.096736908
"ABW",1997,54.13668823,NA,71.04872131,5.04441452
"ABW",1998,60.7166214,NA,71.55039215,5.009903431
"ABW",1999,71.65936279,NA,71.86092377,5.707283974
"ABW",2000,71.25151062,NA,75.09187317,5.724143028
"ABW",2001,74.13129425,NA,73.85196686,5.71150589
"ABW",2002,79.11878204,NA,73.29299927,5.704123497
"ABW",2003,70.25297546,NA,72.82063293,6.135091305
"ABW",2004,72.18761444,NA,73.85336304,4.99677372
"ABW",2005,85.49001312,NA,74.06209564,6.091199875
"ABW",2006,80.20553589,NA,76.55083466,6.304748058
"ABW",2007,85.52108765,NA,75.85305023,6.30086565
"ABW",2008,78.43334961,NA,76.61173248,6.731777191
"ABW",2009,79.02031708,NA,80.66365051,6.723948956
"ABW",2010,79.24517822,NA,82.44815826,6.280896664
"ABW",2011,82.28444672,NA,80.71863556,6.498007774
"ABW",2012,82.07123566,NA,81.46984863,6.507072926
"ABW",2013,81.83892822,NA,81.3367691,6.519320965
"ABW",2014,81.66043854,NA,82.18701935,6.310653687
"ABW",2015,81.52011871,NA,82.06119537,6.31846571
"ADO",1980,NA,NA,60.37367249,18.70030022
"ADO",1981,NA,NA,60.70448303,25.55719948
"ADO",1982,NA,NA,62.33947754,12.72268486
"ADO",1983,NA,NA,62.76743698,23.00547218
"ADO",1984,NA,NA,62.89251328,22.05909348
"ADO",1985,NA,NA,63.04534531,24.32541275
"ADO",1986,NA,NA,63.33517456,25.56639671
"ADO",1987,NA,NA,63.54772186,25.60068893
"ADO",1988,NA,NA,65.22050476,25.98889732
"ADO",1989,NA,NA,65.46691132,26.39582634
"ADO",1990,NA,NA,65.71578979,8.71157074
"ADO",1991,NA,NA,65.93418884,22.26452637
"ADO",1992,NA,NA,66.19290924,24.59622002
"ADO",1993,NA,NA,67.85238647,25.55522537
"ADO",1994,NA,NA,67.75273895,23.0311718
"ADO",1995,NA,NA,70.93666077,16.67739296
"ADO",1996,NA,NA,71.36665344,14.68597031
"ADO",1997,NA,NA,72.19335175,18.85150719
"ADO",1998,NA,NA,72.47920227,24.73823166
"ADO",1999,NA,NA,72.12068939,26.09524918
"ADO",2000,NA,NA,72.32993317,26.15709877
"ADO",2001,NA,NA,72.56555176,21.14329338
"ADO",2002,NA,NA,72.57540131,24.24670219
"ADO",2003,NA,NA,73.42189026,23.39149284
"ADO",2004,NA,NA,74.32942963,28.28613091
"ADO",2005,NA,NA,74.07771301,27.96147919
"ADO",2006,NA,NA,74.22657776,19.17982864
"ADO",2007,NA,NA,75.91088867,21.35634613
"ADO",2008,NA,NA,76.66802979,29.90428543
"ADO",2009,NA,NA,77.06477356,31.14876556
"ADO",2010,NA,NA,77.15072632,29.82305908
"ADO",2011,NA,NA,77.2075119,21.68490601
"ADO",2012,NA,NA,76.52319336,24.63614273
"ADO",2013,NA,NA,75.97747803,22.4231987
"ADO",2014,NA,NA,76.73090363,18.31015205
"ADO",2015,NA,NA,66.8807373,18.49210358
"AFG",1980,12.92745686,NA,11.87978268,24.63132095
"AFG",1981,13.63904762,NA,12.00289249,24.8116169
"AFG",1982,13.64226341,NA,11.88423729,24.99598885
"AFG",1983,14.0995121,NA,12.02875519,25.37642097
"AFG",1984,14.15492916,NA,12.29921627,25.01326752
"AFG",1985,14.13308716,NA,12.41724205,24.45279503
"AFG",1986,14.53398514,NA,12.69773674,24.44655037
"AFG",1987,14.60450935,NA,12.8068819,25.04196739
"AFG",1988,14.69635201,NA,14.11610126,25.23579025
"AFG",1989,15.11544228,NA,13.1113987,25.338871
"AFG",1990,15.08929062,NA,13.23091602,25.97027206
"AFG",1991,15.42505169,NA,13.248703,25.98711395
"AFG",1992,15.39108372,NA,13.81538773,26.03111458
"AFG",1993,15.7532196,NA,12.56003475,26.56114769
"AFG",1994,16.04651833,NA,12.75259304,25.93312836
"AFG",1995,15.91882801,NA,12.76531887,25.85805321
"AFG",1996,15.73561478,NA,12.55739212,25.95098305
"AFG",1997,15.90557671,NA,12.56911087,25.9893322
"AFG",1998,15.69690323,NA,12.79448509,25.74794769
"AFG",1999,15.45050621,NA,13.00367546,26.0990963
"AFG",2000,15.4897728,NA,13.12545204,26.11512947
"AFG",2001,15.1900053,NA,13.53944683,26.17255974
"AFG",2002,14.8424139,NA,15.58202076,26.38282585
"AFG",2003,16.5596199,NA,18.43227196,27.74554062
"AFG",2004,25.22148895,NA,19.6102562,28.03986931
"AFG",2005,28.3787632,NA,23.50239182,36.4666748
"AFG",2006,30.58111572,NA,24.82371712,36.18424606
"AFG",2007,32.4774971,NA,26.01932907,38.16228485
"AFG",2008,32.85593414,NA,29.41745567,40.41553116
"AFG",2009,28.11042976,NA,29.90159607,41.37107086
"AFG",2010,27.62903976,NA,30.19551659,43.57526779
"AFG",2011,27.11314583,NA,30.8796711,43.98581696
"AFG",2012,24.62118721,NA,30.75717926,45.52692413
"AFG",2013,26.73184776,NA,32.89459991,46.32019424
"AFG",2014,27.45749855,NA,33.59950256,44.38082123
"AFG",2015,25.59736443,NA,34.40217209,47.586689
"AGO",1980,43.22951889,35.02040482,15.68453217,39.90055084
"AGO",1981,43.05700684,35.00595856,15.70971584,31.69049835
"AGO",1982,42.85016251,34.98060226,15.8566618,38.53456879
"AGO",1983,42.50919342,34.93778229,15.32915592,41.17844772
"AGO",1984,42.18808365,34.88625717,15.136549,42.86933899
"AGO",1985,41.79407883,34.8724556,14.89109612,35.18772888
