"iso3c","year","meanwage.ILO"
"ABW",2010,1843.51
"AGO",2011,749.17
"ALB",2015,891.56
"ALB",2016,883.98
"ARE",2009,2660.36
"ARG",2011,1138.38
"ARM",1993,9911.09
"ARM",1994,42.04
"ARM",1995,63.25
"ARM",1996,73.58
"ARM",1997,94.77
"ARM",1998,117.37
"ARM",1999,133.45
"ARM",2000,156.64
"ARM",2001,168.38
"ARM",2002,188.89
"ARM",2003,234.83
"ARM",2004,281.56
"ARM",2005,346.63
"ARM",2006,416.11
"ARM",2007,488.44
"ARM",2008,548.18
"ARM",2009,580.29
"ARM",2010,582.89
"ARM",2011,588.16
"ARM",2012,612.82
"ARM",2013,761.04
"ARM",2014,812.79
"ARM",2015,806.76
"ARM",2016,826.56
"AUT",2000,2323.11
"AUT",2001,2434.76
"AUT",2002,2483.86
"AUT",2003,2561.38
"AUT",2009,2758.21
"AUT",2010,2792.23
"AUT",2011,2841.89
"AUT",2012,2894.41
"AUT",2013,2972.53
"AUT",2014,3021.54
"AUT",2015,3055.99
"AUT",2016,3130.84
"AZE",2005,575.58
"AZE",2006,661.18
"AZE",2007,844.25
"AZE",2008,922.5
"AZE",2009,983.88
"AZE",2010,1052.12
"AZE",2011,1105.58
"AZE",2012,1221.38
"AZE",2013,1291.1
"AZE",2014,1353.12
"AZE",2015,1368.14
"AZE",2016,1318.83
"BDI",2014,103.84
"BEL",2009,3096.35
"BEL",2011,3279.15
"BEL",2013,3415.86
"BEL",2014,3439.95
"BEL",2015,3561.59
"BEL",2016,3564.92
"BEN",2011,0.38
"BGD",2016,405
"BGR",1999,320.87
"BGR",2000,353.88
"BGR",2001,359.73
"BGR",2002,387.36
"BGR",2003,411.99
"BGR",2004,424.43
"BGR",2005,457.33
"BGR",2006,477.14
"BGR",2007,545.81
"BGR",2008,630.51
"BGR",2009,690.29
"BGR",2010,747.95
"BGR",2011,818.49
"BGR",2012,875.95
"BGR",2013,962.58
"BGR",2014,1059.43
"BGR",2015,1115.7
"BGR",2016,1226.24
"BHR",1990,790.84
"BHR",1991,846.41
"BHR",1992,884.52
"BHR",1993,869.73
"BHR",1994,892.64
"BHR",1998,992
"BHR",1999,973.95
"BHR",2000,1026.71
"BHR",2001,1033.31
"BHR",2002,1063.94
"BHR",2003,1034.72
"BHR",2004,1015.24
"BHR",2005,977.33
"BHR",2006,956.5
"BHR",2007,985.14
"BHR",2008,1145.84
"BHR",2015,3460.85
"BHR",2016,3578.41
"BIH",2005,515.65
"BIH",2006,544.58
"BIH",2007,587.81
"BIH",2008,663.8
"BIH",2009,747.64
"BIH",2010,790.15
"BIH",2011,815.26
"BIH",2012,819.11
"BIH",2014,907.51
"BIH",2015,901.68
"BIH",2016,931.88
"BLR",1995,1.64014e+12
"BLR",1996,1.70352e+12
"BLR",1997,2.21581e+12
"BLR",1998,3.1639e+12
"BLR",1999,3.58445e+12
"BLR",2000,3.48578e+12
"BLR",2001,4199389286
"BLR",2002,3995962465
"BLR",2003,4290958301
"BLR",2004,5400826992
"BLR",2005,6543771196
"BLR",2006,7482650620
"BLR",2007,8455101766
"BLR",2008,9612627173
"BLR",2009,8434046.94
"BLR",2010,12729550.09
"BLR",2011,15440773.43
"BLR",2012,16290885.17
"BLR",2013,17237829.64
"BLR",2014,17236112.18
"BLR",2015,16593558.78
"BLR",2016,1579.52
"BOL",2005,537.12
"BOL",2006,594.59
"BOL",2007,597.32
"BOL",2008,619.36
"BOL",2009,627.83
"BOL",2011,702.7
"BOL",2012,778.73
"BOL",2013,841.93
"BOL",2014,840.24
"BOL",2015,846.15
"BOL",2016,869.68
"BRA",1995,442.14
"BRA",1996,446.52
"BRA",1997,449.28
"BRA",1998,462.08
"BRA",1999,446.81
"BRA",2001,471
"BRA",2002,474.87
"BRA",2003,459.99
"BRA",2004,469.98
"BRA",2005,500.62
"BRA",2006,543.19
"BRA",2007,586.39
"BRA",2008,630.63
"BRA",2009,643.97
"BRA",2011,736.7
"BRA",2012,787.41
"BRA",2013,828.78
"BRA",2014,856.23
"BRA",2015,846.94
"BRA",2016,884.47
"BRN",2014,2574.78
"BWA",1990,418.29
"BWA",1991,446.3
"BWA",1992,476.72
"BWA",1993,500.49
"BWA",1994,491.13
"BWA",1995,488.61
"BWA",1996,484.7
"BWA",1997,503.7
"BWA",1998,652.53
"BWA",2000,702.09
"BWA",2001,727.92
"BWA",2002,761.2
"BWA",2003,764.96
"BWA",2004,780.36
"BWA",2005,706.57
"BWA",2006,932.93
"BWA",2009,1107.56
"BWA",2010,1099.49
"BWA",2011,1066.01
"CAN",1997,1973.96
"CAN",1998,1991.79
"CAN",1999,2042.61
"CAN",2000,2100.57
"CAN",2001,2164.14
"CAN",2002,2187.23
"CAN",2003,2232.14
"CAN",2004,2311.9
"CAN",2005,2416.36
"CAN",2006,2446.32
"CAN",2007,2548.79
"CAN",2008,2597.64
"CAN",2009,2671.63
"CAN",2010,2729.84
"CAN",2011,2818.95
"CAN",2012,2910.31
"CAN",2013,2929.42
"CAN",2014,2963.73
"CAN",2015,2980.3
"CAN",2016,3045.76
"CAN",2017,3088.41
"CHE",2010,4441.15
"CHE",2012,4120.69
"CHE",2014,5100.63
"CHE",2016,5324.96
"CHL",1990,782.75
"CHL",1991,872.82
"CHL",1992,955.46
"CHL",1993,411.84
"CHL",1994,456.85
"CHL",1995,502.45
"CHL",1996,550.43
"CHL",1997,589.98
"CHL",1998,617.75
"CHL",1999,634.6
"CHL",2000,654.47
"CHL",2001,662.41
"CHL",2002,673.79
"CHL",2003,691.63
"CHL",2004,719.9
"CHL",2005,714.79
"CHL",2006,944.96
"CHL",2009,1140.61
"CHL",2011,1255.78
"CHL",2013,1310.79
"CHL",2015,1282.85
"CHN",1990,73.15
"CHN",1991,80.51
"CHN",1992,90.36
"CHN",1993,100.93
"CHN",1994,112.2
"CHN",1995,119.7
"CHN",1996,128.43
