"iso3c","value","year"
"BDI","16.9",1985
"COM","17.2",1985
"DJI","17.2",1985
"ERI","17.7",1985
"ETH","17.0",1985
"KEN","15.0",1985
"MDG","16.9",1985
"MWI","16.8",1985
"MUS","23.1",1985
"MYT","15.6",1985
"MOZ","17.8",1985
"REU","22.3",1985
"RWA","15.2",1985
"SYC","21.8",1985
"SOM","18.0",1985
"SSD","17.8",1985
"UGA","16.3",1985
"TZA","16.9",1985
"ZMB","15.9",1985
"ZWE","16.0",1985
"AGO","16.3",1985
"CMR","17.1",1985
"CAF","18.8",1985
"TCD","16.8",1985
"COG","17.0",1985
"COD","17.5",1985
"GNQ","19.6",1985
"GAB","19.9",1985
"STP","15.9",1985
"BWA","15.9",1985
"SWZ","14.7",1985
"LSO","16.9",1985
"NAM","16.4",1985
"ZAF","19.5",1985
"BEN","17.3",1985
"BFA","16.6",1985
"CPV","16.9",1985
"CIV","17.5",1985
"GMB","18.1",1985
"GHA","17.1",1985
"GIN","17.8",1985
"GNB","17.3",1985
"LBR","17.3",1985
"MLI","17.4",1985
"MRT","17.3",1985
"NER","15.7",1985
"NGA","17.5",1985
"SEN","16.4",1985
"SLE","18.3",1985
"TGO","16.7",1985
"DZA","17.1",1985
"EGY","19.5",1985
"LBY","17.4",1985
"MAR","18.7",1985
"SDN","16.6",1985
"TUN","19.9",1985
"ESH","21.4",1985
"ARM","25.3",1985
"AZE","22.8",1985
"BHR","25.2",1985
"CYP","29.1",1985
"GEO","29.8",1985
"IRQ","16.7",1985
"ISR","25.4",1985
"JOR","16.3",1985
"KWT","22.3",1985
"LBN","20.0",1985
"OMN","17.5",1985
"QAT","26.9",1985
"SAU","19.3",1985
"PSE","15.5",1985
"SYR","15.6",1985
"TUR","21.0",1985
"ARE","26.2",1985
"YEM","14.8",1985
"KAZ","24.6",1985
"KGZ","21.7",1985
"TJK","18.4",1985
"TKM","19.4",1985
"UZB","19.6",1985
"AFG","16.2",1985
"BGD","17.8",1985
"BTN","18.0",1985
"IND","20.6",1985
"IRN","17.2",1985
"MDV","16.8",1985
"NPL","19.0",1985
"PAK","18.6",1985
"LKA","22.8",1985
"CHN","23.5",1985
"HKG","28.3",1985
"MAC","27.6",1985
"PRK","23.5",1985
"JPN","35.0",1985
"MNG","18.5",1985
"KOR","24.3",1985
"BRN","21.2",1985
"KHM","18.5",1985
"IDN","19.9",1985
"LAO","17.6",1985
"MYS","20.5",1985
"MMR","19.6",1985
"PHL","18.7",1985
"SGP","27.3",1985
