"iso3c","year","minwage.ILO"
"AFG","2010",244.69
"AFG","2011",282.2
"AFG","2012",270.61
"AFG","2013",255.69
"AGO","2000",242.68
"AGO","2001",98.8
"AGO","2002",240.24
"AGO","2003",165.26
"AGO","2004",125.6
"AGO","2005",134.2
"AGO","2006",117.74
"AGO","2007",134.85
"AGO","2008",164.71
"AGO","2009",144.31
"AGO","2010",139.63
"ALB","1995",97.56
"ALB","1996",115.28
"ALB","1997",88.58
"ALB","1998",99.8
"ALB","1999",109.23
"ALB","2000",121.97
"ALB","2001",131.95
"ALB","2002",162.46
"ALB","2003",174.51
"ALB","2004",190.38
"ALB","2005",208.17
"ALB","2006",244.59
"ALB","2007",242.49
"ALB","2008",294.87
"ALB","2009",311.03
"ALB","2010",334.61
"ALB","2011",359.79
"ALB","2012",389.88
"ALB","2013",406.13
"ALB","2014",405.51
"ALB","2015",418.85
"ALB","2016",409.23
"ARM","1995",4.26
"ARM","1996",6.45
"ARM","1997",6.98
"ARM","1998",6.52
"ARM","1999",33.1
"ARM","2000",34.49
"ARM","2001",34.39
"ARM","2002",34.57
"ARM","2003",33.76
"ARM","2004",84.25
"ARM","2005",86.56
"ARM","2006",100.2
"ARM","2007",131.61
"ARM","2008",156.79
"ARM","2009",181.3
"ARM","2010",170.35
"ARM","2011",176.84
"ARM","2012",176
"ARM","2013",233.73
"ARM","2014",338.99
"AUS","1998",1129.27
"AUS","1999",1178.45
"AUS","2000",1206.5
"AUS","2001",1235.89
"AUS","2002",1258.21
"AUS","2003",1281.73
"AUS","2004",1345.53
"AUS","2005",1383.06
"AUS","2006",1401.86
"AUS","2007",1472.37
"AUS","2008",1539.19
"AUS","2009",1523.76
"AUS","2010",1589.67
"AUS","2011",1672.95
"AUS","2012",1699.65
"AUS","2013",1775.84
"AUS","2014",1813.53
"AUS","2015",1840.48
"AUS","2016",1872.49
"BDI","1995",30.21
"BDI","1996",24.6
"BDI","1997",19.2
"BDI","1998",17.33
"BDI","1999",17.13
"BDI","2000",14.23
"BDI","2001",13.39
"BDI","2002",13.79
"BDI","2003",12.74
"BDI","2004",12.1
"BDI","2005",11.04
"BDI","2006",11.1
"BDI","2007",10.53
"BDI","2008",8.79
"BDI","2009",7.92
"BDI","2010",7.56
"BDI","2011",7.11
"BDI","2012",6.15
"BDI","2013",5.78
"BEL","1999",1137.38
"BEL","2000",1184.28
"BEL","2001",1232.33
"BEL","2002",1276.74
"BEL","2003",1279.55
"BEL","2004",1287.16
"BEL","2005",1310.01
"BEL","2006",1337.16
"BEL","2007",1384.94
"BEL","2008",1456.81
"BEL","2009",1538.75
"BEL","2010",1551.11
"BEL","2011",1639.05
"BEL","2012",1667.29
"BEL","2013",1723.79
"BEL","2014",1746.52
"BEL","2015",1735.52
"BEL","2016",1766.81
"BEN","2000",119.17
