"iso3c","SubSahara","LatAm"
"AGO",1,NA
"ARG",NA,1
"BDI",1,NA
"BEN",1,NA
"BFA",1,NA
"BOL",NA,1
"BRA",NA,1
"BWA",1,NA
"CAF",1,NA
"CHL",NA,1
"CIV",1,NA
"CMR",1,NA
"COD",1,NA
"COG",1,NA
"COL",NA,1
"COM",1,NA
"CPV",1,NA
"CRI",NA,1
"CUB",NA,1
"DJI",1,NA
"DOM",NA,1
"ECU",NA,1
"ERI",1,NA
"ESH",1,NA
"ETH",1,NA
"GAB",1,NA
"GHA",1,NA
"GIN",1,NA
"GMB",1,NA
"GNB",1,NA
"GNQ",1,NA
"GTM",NA,1
"GUF",NA,1
"HND",NA,1
"HTI",NA,1
"KEN",1,NA
"LBR",1,NA
"LSO",1,NA
"MDG",1,NA
"MEX",NA,1
"MLI",1,NA
"MOZ",1,NA
"MRT",1,NA
"MTQ",NA,1
"MUS",1,NA
"MWI",1,NA
"NAM",1,NA
"NER",1,NA
"NGA",1,NA
"NIC",NA,1
"PAN",NA,1
"PER",NA,1
"PRI",NA,1
"PRY",NA,1
"REU",1,NA
"RWA",1,NA
"SDN",1,NA
"SEN",1,NA
"SLE",1,NA
"SLV",NA,1
"SOM",1,NA
"STP",1,NA
"SWZ",1,NA
"SYC",1,NA
"TCD",1,NA
"TGO",1,NA
"TZA",1,NA
"UGA",1,NA
"URY",NA,1
"VEN",NA,1
"ZAF",1,NA
"ZMB",1,NA
"ZWE",1,NA
