"iso3c","year","RevCoups"
"USA",1980,0
"USA",1981,0
"USA",1982,0
"USA",1983,0
"USA",1984,0
"USA",1985,0
"USA",1986,0
"USA",1987,0
"USA",1988,0
"USA",1989,0
"USA",1990,0
"USA",1991,0
"USA",1992,0
"USA",1993,0
"USA",1994,0
"USA",1995,0
"USA",1996,0
"USA",1997,0
"USA",1998,0
"USA",1999,0
"USA",2000,0
"USA",2001,0
"USA",2002,0
"USA",2003,0
"USA",2004,0
"USA",2005,0
"USA",2006,0
"USA",2007,0
"USA",2008,0
"USA",2009,0
"USA",2010,0
"USA",2011,0
"USA",2012,0
"USA",2013,0
"USA",2014,0
"USA",2015,0
"USA",2016,0
"USA",2017,0
"USA",2018,0
"USA",2019,0
"CAN",1980,0
"CAN",1981,0
"CAN",1982,0
"CAN",1983,0
"CAN",1984,0
"CAN",1985,0
"CAN",1986,0
"CAN",1987,0
"CAN",1988,0
"CAN",1989,0
"CAN",1990,0
"CAN",1991,0
"CAN",1992,0
"CAN",1993,0
"CAN",1994,0
"CAN",1995,0
"CAN",1996,0
"CAN",1997,0
"CAN",1998,0
"CAN",1999,0
"CAN",2000,0
"CAN",2001,0
"CAN",2002,0
"CAN",2003,0
"CAN",2004,0
"CAN",2005,0
"CAN",2006,0
"CAN",2007,0
"CAN",2008,0
"CAN",2009,0
"CAN",2010,0
"CAN",2011,0
"CAN",2012,0
"CAN",2013,0
"CAN",2014,0
"CAN",2015,0
"CAN",2016,0
"CAN",2017,0
"CAN",2018,0
"CAN",2019,0
"BHM",1980,0
"BHM",1981,0
"BHM",1982,0
"BHM",1983,0
"BHM",1984,0
"BHM",1985,0
"BHM",1986,0
"BHM",1987,0
"BHM",1988,0
"BHM",1989,0
"BHM",1990,0
"BHM",1991,0
"BHM",1992,0
"BHM",1993,0
"BHM",1994,0
"BHM",1995,0
"BHM",1996,0
"BHM",1997,0
"BHM",1998,0
"BHM",1999,0
"BHM",2000,0
"BHM",2001,0
"BHM",2002,0
"BHM",2003,0
"BHM",2004,0
"BHM",2005,0
"BHM",2006,0
"BHM",2007,0
"BHM",2008,0
"BHM",2009,0
"BHM",2010,0
"BHM",2011,0
"BHM",2012,0
"BHM",2013,0
"BHM",2014,0
"BHM",2015,0
"BHM",2016,0
"BHM",2017,0
"BHM",2018,0
"BHM",2019,0
"CUB",1980,0
"CUB",1981,0
"CUB",1982,0
"CUB",1983,0
"CUB",1984,0
"CUB",1985,0
"CUB",1986,0
"CUB",1987,0
"CUB",1988,0
"CUB",1989,0
"CUB",1990,0
"CUB",1991,0
"CUB",1992,0
"CUB",1993,0
"CUB",1994,0
"CUB",1995,0
"CUB",1996,0
"CUB",1997,0
"CUB",1998,0
"CUB",1999,0
"CUB",2000,0
"CUB",2001,0
"CUB",2002,0
"CUB",2003,0
"CUB",2004,0
"CUB",2005,0
"CUB",2006,0
"CUB",2007,0
"CUB",2008,0
"CUB",2009,0
"CUB",2010,0
"CUB",2011,0
"CUB",2012,0
"CUB",2013,0
"CUB",2014,0
"CUB",2015,0
"CUB",2016,0
"CUB",2017,0
"CUB",2018,0
"CUB",2019,0
"HAI",1980,0
"HAI",1981,0
"HAI",1982,0
"HAI",1983,0
"HAI",1984,0
"HAI",1985,0
"HAI",1986,2
"HAI",1987,0
"HAI",1988,4
"HAI",1989,2
"HAI",1990,0
"HAI",1991,3
"HAI",1992,0
"HAI",1993,0
"HAI",1994,0
"HAI",1995,0
"HAI",1996,0
"HAI",1997,0
"HAI",1998,0
"HAI",1999,0
"HAI",2000,0
"HAI",2001,0
"HAI",2002,0
"HAI",2003,0
"HAI",2004,0
"HAI",2005,0
"HAI",2006,0
"HAI",2007,0
"HAI",2008,0
"HAI",2009,0
"HAI",2010,0
"HAI",2011,0
"HAI",2012,0
"HAI",2013,0
"HAI",2014,0
"HAI",2015,0
"HAI",2016,0
"HAI",2017,0
"HAI",2018,0
"HAI",2019,0
"DOM",1980,0
"DOM",1981,0
"DOM",1982,0
"DOM",1983,0
"DOM",1984,0
"DOM",1985,0
"DOM",1986,0
"DOM",1987,0
"DOM",1988,0
"DOM",1989,0
"DOM",1990,0
"DOM",1991,0
"DOM",1992,0
"DOM",1993,0
"DOM",1994,0
"DOM",1995,0
"DOM",1996,0
"DOM",1997,0
"DOM",1998,0
"DOM",1999,0
"DOM",2000,0
"DOM",2001,0
"DOM",2002,0
"DOM",2003,0
"DOM",2004,0
"DOM",2005,0
"DOM",2006,0
"DOM",2007,0
"DOM",2008,0
"DOM",2009,0
"DOM",2010,0
"DOM",2011,0
"DOM",2012,0
"DOM",2013,0
"DOM",2014,0
"DOM",2015,0
"DOM",2016,0
"DOM",2017,0
"DOM",2018,0
"DOM",2019,0
"JAM",1980,0
"JAM",1981,0
"JAM",1982,0
"JAM",1983,0
"JAM",1984,0
"JAM",1985,0
"JAM",1986,0
"JAM",1987,0
"JAM",1988,0
"JAM",1989,0
"JAM",1990,0
"JAM",1991,0
"JAM",1992,0
"JAM",1993,0
"JAM",1994,0
"JAM",1995,0
"JAM",1996,0
"JAM",1997,0
"JAM",1998,0
"JAM",1999,0
"JAM",2000,0
"JAM",2001,0
"JAM",2002,0
"JAM",2003,0
"JAM",2004,0
"JAM",2005,0
"JAM",2006,0
"JAM",2007,0
"JAM",2008,0
"JAM",2009,0
"JAM",2010,0
"JAM",2011,0
"JAM",2012,0
"JAM",2013,0
"JAM",2014,0
"JAM",2015,0
"JAM",2016,0
"JAM",2017,0
"JAM",2018,0
"JAM",2019,0
"TRI",1980,0
"TRI",1981,0
"TRI",1982,0
"TRI",1983,0
"TRI",1984,0
"TRI",1985,0
"TRI",1986,0
"TRI",1987,0
"TRI",1988,0
"TRI",1989,0
"TRI",1990,0
"TRI",1991,0
"TRI",1992,0
"TRI",1993,0
"TRI",1994,0
"TRI",1995,0
"TRI",1996,0
"TRI",1997,0
"TRI",1998,0
"TRI",1999,0
"TRI",2000,0
"TRI",2001,0
"TRI",2002,0
"TRI",2003,0
"TRI",2004,0
"TRI",2005,0
"TRI",2006,0
"TRI",2007,0
"TRI",2008,0
"TRI",2009,0
"TRI",2010,0
"TRI",2011,0
"TRI",2012,0
"TRI",2013,0
"TRI",2014,0
"TRI",2015,0
"TRI",2016,0
"TRI",2017,0
"TRI",2018,0
"TRI",2019,0
"BAR",1980,0
"BAR",1981,0
"BAR",1982,0
"BAR",1983,0
"BAR",1984,0
"BAR",1985,0
"BAR",1986,0
"BAR",1987,0
"BAR",1988,0
"BAR",1989,0
"BAR",1990,0
"BAR",1991,0
"BAR",1992,0
"BAR",1993,0
"BAR",1994,0
"BAR",1995,0
"BAR",1996,0
"BAR",1997,0
"BAR",1998,0
"BAR",1999,0
"BAR",2000,0
"BAR",2001,0
"BAR",2002,0
"BAR",2003,0
"BAR",2004,0
"BAR",2005,0
"BAR",2006,0
"BAR",2007,0
"BAR",2008,0
"BAR",2009,0
"BAR",2010,0
"BAR",2011,0
"BAR",2012,0
"BAR",2013,0
"BAR",2014,0
"BAR",2015,0
"BAR",2016,0
"BAR",2017,0
"BAR",2018,0
"BAR",2019,0
"DMA",1980,0
"DMA",1981,1
"DMA",1982,0
"DMA",1983,0
"DMA",1984,0
"DMA",1985,0
"DMA",1986,0
"DMA",1987,0
"DMA",1988,0
"DMA",1989,0
"DMA",1990,0
"DMA",1991,0
"DMA",1992,0
"DMA",1993,0
"DMA",1994,0
"DMA",1995,0
"DMA",1996,0
"DMA",1997,0
"DMA",1998,0
"DMA",1999,0
"DMA",2000,0
"DMA",2001,0
"DMA",2002,0
"DMA",2003,0
"DMA",2004,0
"DMA",2005,0
"DMA",2006,0
"DMA",2007,0
"DMA",2008,0
"DMA",2009,0
"DMA",2010,0
"DMA",2011,0
"DMA",2012,0
"DMA",2013,0
"DMA",2014,0
"DMA",2015,0
"DMA",2016,0
"DMA",2017,0
"DMA",2018,0
"DMA",2019,0
"GRN",1980,0
"GRN",1981,0
"GRN",1982,0
"GRN",1983,2
"GRN",1984,0
"GRN",1985,0
"GRN",1986,0
"GRN",1987,0
"GRN",1988,0
"GRN",1989,0
"GRN",1990,0
"GRN",1991,0
"GRN",1992,0
"GRN",1993,0
"GRN",1994,0
"GRN",1995,0
"GRN",1996,0
"GRN",1997,0
"GRN",1998,0
"GRN",1999,0
"GRN",2000,0
"GRN",2001,0
"GRN",2002,0
"GRN",2003,0
"GRN",2004,0
"GRN",2005,0
"GRN",2006,0
"GRN",2007,0
"GRN",2008,0
"GRN",2009,0
"GRN",2010,0
"GRN",2011,0
"GRN",2012,0
"GRN",2013,0
"GRN",2014,0
"GRN",2015,0
"GRN",2016,0
"GRN",2017,0
"GRN",2018,0
"GRN",2019,0
"SLU",1980,0
"SLU",1981,0
"SLU",1982,0
"SLU",1983,0
"SLU",1984,0
"SLU",1985,0
"SLU",1986,0
"SLU",1987,0
"SLU",1988,0
"SLU",1989,0
"SLU",1990,0
"SLU",1991,0
"SLU",1992,0
"SLU",1993,0
"SLU",1994,0
"SLU",1995,0
"SLU",1996,0
"SLU",1997,0
"SLU",1998,0
"SLU",1999,0
"SLU",2000,0
"SLU",2001,0
"SLU",2002,0
"SLU",2003,0
"SLU",2004,0
"SLU",2005,0
"SLU",2006,0
"SLU",2007,0
"SLU",2008,0
"SLU",2009,0
"SLU",2010,0
"SLU",2011,0
"SLU",2012,0
"SLU",2013,0
"SLU",2014,0
"SLU",2015,0
"SLU",2016,0
"SLU",2017,0
"SLU",2018,0
"SLU",2019,0
"SVG",1980,0
"SVG",1981,0
"SVG",1982,0
"SVG",1983,0
"SVG",1984,0
"SVG",1985,0
"SVG",1986,0
"SVG",1987,0
"SVG",1988,0
"SVG",1989,0
"SVG",1990,0
"SVG",1991,0
"SVG",1992,0
"SVG",1993,0
"SVG",1994,0
"SVG",1995,0
"SVG",1996,0
"SVG",1997,0
"SVG",1998,0
"SVG",1999,0
"SVG",2000,0
"SVG",2001,0
"SVG",2002,0
"SVG",2003,0
"SVG",2004,0
"SVG",2005,0
"SVG",2006,0
"SVG",2007,0
"SVG",2008,0
"SVG",2009,0
"SVG",2010,0
"SVG",2011,0
"SVG",2012,0
"SVG",2013,0
"SVG",2014,0
"SVG",2015,0
"SVG",2016,0
"SVG",2017,0
"SVG",2018,0
"SVG",2019,0
"AAB",1981,0
"AAB",1982,0
"AAB",1983,0
"AAB",1984,0
"AAB",1985,0
"AAB",1986,0
"AAB",1987,0
"AAB",1988,0
"AAB",1989,0
"AAB",1990,0
"AAB",1991,0
"AAB",1992,0
"AAB",1993,0
"AAB",1994,0
"AAB",1995,0
"AAB",1996,0
"AAB",1997,0
"AAB",1998,0
"AAB",1999,0
"AAB",2000,0
"AAB",2001,0
"AAB",2002,0
"AAB",2003,0
"AAB",2004,0
"AAB",2005,0
"AAB",2006,0
"AAB",2007,0
"AAB",2008,0
"AAB",2009,0
"AAB",2010,0
"AAB",2011,0
"AAB",2012,0
"AAB",2013,0
