"iso3c","year","wage_min_mean","wage_min_median","rminwage","mean_wage"
"AUS","1985",0.59303,0.6523,20689.07,NA
"AUS","1986",0.574447,0.633,19453.37,NA
"AUS","1987",0.577699,0.6345,18963.93,NA
"AUS","1988",0.574977,0.6353,18855.71,NA
"AUS","1989",0.563817,0.629,18726.58,NA
"AUS","1990",0.577742,0.6342,18707.82,40102.1732785431
"AUS","1991",0.593207,0.655,19515.11,39911.2102876342
"AUS","1992",0.589492,0.6547,20256.71,40712.3739621699
"AUS","1993",0.557191,0.6257,20134.88,41087.1550639477
"AUS","1994",0.549258,0.6208,20069.2,41365.7226197244
"AUS","1995",0.544497,0.6196,19645.51,41206.7357836147
"AUS","1996",0.528593,0.6108,19596.95,42427.5033262506
"AUS","1997",0.514899,0.604,20078.95,43697.2685628407
"AUS","1998",0.523702,0.6121,20616.28,44317.1972242176
"AUS","1999",0.511819,0.5965,21013.2,45360.2299685633
"AUS","2000",0.501754,0.5819,20854.93,45458.5096363694
"AUS","2001",0.497472,0.5863,20664.37,45953.2936623797
"AUS","2002",0.500464,0.5752,20867.94,46269.5665426124
"AUS","2003",0.498222,0.583,21140.22,46810.8438501126
"AUS","2004",0.501502,0.5842,21511.26,48267.3840304376
"AUS","2005",0.492777,0.5746,21685.68,48891.3050076281
"AUS","2006",0.460894,0.5382,21353.74,49207.5053883964
"AUS","2007",0.45433,0.5447,22061.94,50565.398193117
"AUS","2008",0.448942,0.5221,21675.54,50973.1926470124
"AUS","2009",0.443902,0.5437,21954.39,50511.0293896211
"AUS","2010",0.449802,0.5427,21844.08,52252.9794431782
"AUS","2011",0.449847,0.5357,22009.37,53905.7740099515
"AUS","2012",0.439738,0.5273,22309.12,54226.1894778328
"AUS","2013",0.43786,0.5396,22375.23,53977.419108946
"AUS","2014",0.436283,0.534,22445.12,54391.757436256
"AUS","2015",0.444451,0.5349,22718.91,53946.2663148117
"AUS","2016",0.473832,0.5398,22982.24,53971.5974618331
"AUS","2017",0.474334,0.5493,23187.23,53507.2854602183
"AUS","2018",0.472008,0.5407,23975.61,53349.4136154893
"AUT","1990",NA,NA,NA,40821.5319617133
"AUT","1991",NA,NA,NA,42097.5554387251
"AUT","1992",NA,NA,NA,42945.6673977692
"AUT","1993",NA,NA,NA,43295.8157802583
"AUT","1994",NA,NA,NA,43732.033783534
"AUT","1995",NA,NA,NA,44084.3451500257
"AUT","1996",NA,NA,NA,43763.5017813621
"AUT","1997",NA,NA,NA,43389.2642881815
"AUT","1998",NA,NA,NA,44789.8075097605
"AUT","1999",NA,NA,NA,45781.4730803117
"AUT","2000",NA,NA,NA,45902.3583706038
"AUT","2001",NA,NA,NA,45786.641153518
"AUT","2002",NA,NA,NA,46454.3397816055
"AUT","2003",NA,NA,NA,46589.7286993888
"AUT","2004",NA,NA,NA,47464.0680315261
"AUT","2005",NA,NA,NA,47715.5276666741
"AUT","2006",NA,NA,NA,48411.6097437845
"AUT","2007",NA,NA,NA,48644.5751102388
"AUT","2008",NA,NA,NA,49509.355655464
"AUT","2009",NA,NA,NA,50312.1937809248
"AUT","2010",NA,NA,NA,50096.7144403547
"AUT","2011",NA,NA,NA,49578.9147044103
"AUT","2012",NA,NA,NA,49835.1142689799
"AUT","2013",NA,NA,NA,49896.4923427939
"AUT","2014",NA,NA,NA,50082.8486085934
"AUT","2015",NA,NA,NA,50373.8110600107
"AUT","2016",NA,NA,NA,50906.0202794225
"AUT","2017",NA,NA,NA,50851.3971310611
"AUT","2018",NA,NA,NA,50868.2460070356
"BEL","1975",0.464702,0.5459,20654.97,NA
"BEL","1976",0.456474,0.5362,20803.13,NA
"BEL","1977",0.45226,0.5312,20884.5,NA
"BEL","1978",0.444142,0.5217,20934.24,NA
"BEL","1979",0.437383,0.5138,20884.02,NA
"BEL","1980",0.434363,0.5102,20815.6,NA
"BEL","1981",0.449627,0.5282,21590.15,NA
"BEL","1982",0.472533,0.555,22353.68,NA
"BEL","1983",0.481725,0.5659,22358.54,NA
"BEL","1984",0.48169,0.5658,22017.13,NA
"BEL","1985",0.480881,0.5649,21593.75,NA
"BEL","1986",0.484962,0.5697,21813.31,NA
"BEL","1987",0.482392,0.5666,21479.65,NA
"BEL","1988",0.483482,0.5679,21640.2,NA
"BEL","1989",0.478709,0.5623,21625.56,NA
"BEL","1990",0.470286,0.5524,21602.33,41615.9039478587
"BEL","1991",0.471105,0.5534,21904.63,43445.3096637393
"BEL","1992",0.480238,0.5641,22739.75,44840.1097792691
"BEL","1993",0.479644,0.5634,22926.8,45781.9386923893
"BEL","1994",0.476051,0.5592,22832.18,46670.6260229665
"BEL","1995",0.476587,0.5598,22913.6,46512.5807965997
"BEL","1996",0.470993,0.5549,22754.93,47011.0274973784
"BEL","1997",0.463023,0.5472,22541.7,47670.0988514471
"BEL","1998",0.451219,0.5349,22329.73,47587.9003157604
"BEL","1999",0.441613,0.5196,22082.22,50128.8546895508
"BEL","2000",0.428853,0.505,21534.28,49795.6762864105
"BEL","2001",0.421881,0.4961,21651.25,50077.9589464315
"BEL","2002",0.425962,0.5014,21941.49,50941.3509552103
"BEL","2003",0.421303,0.4876,21814.56,51156.3901200273
"BEL","2004",0.411044,0.4838,21578.26,50932.2382068964
"BEL","2005",0.411879,0.4829,21413.56,50609.8880608394
"BEL","2006",0.404104,0.4755,21454.01,50815.5954636155
"BEL","2007",0.405293,0.479,21701.65,50575.4020988928
"BEL","2008",0.409525,0.4796,21614.05,50725.026495778
"BEL","2009",0.414787,0.4942,22684.99,51159.3217639053
