"year","iso3c","WarYears"
2016,"AFG",2
2017,"AFG",2
2018,"AFG",2
1980,"AFG",1
1981,"AFG",1
1982,"AFG",1
1983,"AFG",1
1984,"AFG",1
1985,"AFG",1
1986,"AFG",1
1987,"AFG",1
1988,"AFG",1
1989,"AFG",1
1990,"AFG",1
1991,"AFG",1
1992,"AFG",1
1993,"AFG",1
1994,"AFG",1
1995,"AFG",1
1996,"AFG",1
1997,"AFG",1
1998,"AFG",1
1999,"AFG",1
2000,"AFG",1
2001,"AFG",2
2005,"AFG",1
2006,"AFG",1
2007,"AFG",1
2008,"AFG",1
2009,"AFG",1
2010,"AFG",1
2011,"AFG",1
2012,"AFG",1
2013,"AFG",1
2014,"AFG",1
2015,"AFG",1
1994,"DZA",1
1995,"DZA",1
1996,"DZA",1
1997,"DZA",1
1998,"DZA",1
1999,"DZA",1
1980,"AGO",1
1981,"AGO",1
1982,"AGO",1
1983,"AGO",1
1984,"AGO",1
1985,"AGO",1
1986,"AGO",1
1987,"AGO",1
1988,"AGO",1
1989,"AGO",1
1990,"AGO",1
1992,"AGO",1
1993,"AGO",1
1994,"AGO",1
1998,"AGO",1
1999,"AGO",1
2000,"AGO",1
2001,"AGO",1
2003,"AUS",1
1992,"AZE",1
1993,"AZE",1
1994,"AZE",1
1992,"BIH",1
1993,"BIH",2
1994,"BIH",1
1995,"BIH",1
2000,"BDI",1
2001,"BDI",1
2002,"BDI",1
1980,"TCD",1
1987,"TCD",2
1990,"TCD",1
2000,"TCD",1
2006,"TCD",1
1985,"COL",1
1992,"COL",1
1994,"COL",1
1996,"COL",1
1999,"COL",1
2000,"COL",1
2001,"COL",1
2002,"COL",1
2004,"COL",1
2005,"COL",1
1997,"COG",1
1998,"COG",1
1996,"COD",1
1997,"COD",1
1998,"COD",1
1999,"COD",1
2000,"COD",1
2013,"COD",1
2017,"COD",1
1981,"SLV",1
1982,"SLV",1
1983,"SLV",1
1984,"SLV",1
1985,"SLV",1
1986,"SLV",1
1987,"SLV",1
1988,"SLV",1
1989,"SLV",1
1998,"ERI",1
1999,"ERI",1
2000,"ERI",1
1980,"ETH",1
1981,"ETH",2
1982,"ETH",2
1983,"ETH",2
1984,"ETH",2
1985,"ETH",2
1987,"ETH",2
1988,"ETH",2
1989,"ETH",2
1990,"ETH",2
1991,"ETH",2
1998,"ETH",1
1999,"ETH",1
2000,"ETH",1
1993,"GEO",1
1988,"IND",1
1990,"IND",1
1991,"IND",1
1992,"IND",1
2000,"IND",1
2002,"IND",1
2003,"IND",1
2004,"IND",1
2005,"IND",1
1981,"IDN",1
1980,"IRN",2
1982,"IRN",3
1981,"IRN",2
1983,"IRN",1
1984,"IRN",1
1985,"IRN",1
1986,"IRN",1
1987,"IRN",1
1988,"IRN",1
2004,"IRQ",1
2005,"IRQ",1
2006,"IRQ",1
2007,"IRQ",1
2008,"IRQ",1
2009,"IRQ",1
2010,"IRQ",1
2013,"IRQ",1
2014,"IRQ",1
2015,"IRQ",1
2016,"IRQ",1
2017,"IRQ",1
1988,"IRQ",2
1991,"IRQ",2
1990,"IRQ",1
2003,"IRQ",1
1980,"IRQ",1
1981,"IRQ",1
1982,"IRQ",1
1983,"IRQ",1
1984,"IRQ",1
1985,"IRQ",1
1986,"IRQ",1
1987,"IRQ",1
1982,"ISR",1
2014,"ISR",1
1990,"KWT",1
1991,"KWT",1
1984,"LBN",1
2003,"LBR",1
2011,"LBY",1
2016,"LBY",1
1987,"LBY",1
1980,"MAR",1
1981,"MOZ",1
1982,"MOZ",1
1983,"MOZ",1
1984,"MOZ",1
1985,"MOZ",1
1986,"MOZ",1
1987,"MOZ",1
1988,"MOZ",1
1989,"MOZ",1
1990,"MOZ",1
1991,"MOZ",1
1983,"MMR",1
1984,"MMR",2
1989,"MMR",1
1992,"MMR",1
1980,"MMR",1
1982,"MMR",1
1986,"MMR",1
1988,"MMR",1
2002,"NPL",1
2003,"NPL",1
2004,"NPL",1
2005,"NPL",1
1983,"NIC",1
1984,"NIC",1
1985,"NIC",1
