"iso3c","year","Top10share","Top1share"
"AGO",1960,NA,NA
"AGO",1961,NA,NA
"AGO",1962,NA,NA
"AGO",1963,NA,NA
"AGO",1964,NA,NA
"AGO",1965,NA,NA
"AGO",1966,NA,NA
"AGO",1967,NA,NA
"AGO",1968,NA,NA
"AGO",1969,NA,NA
"AGO",1970,NA,NA
"AGO",1971,NA,NA
"AGO",1972,NA,NA
"AGO",1973,NA,NA
"AGO",1974,NA,NA
"AGO",1975,NA,NA
"AGO",1976,NA,NA
"AGO",1977,NA,NA
"AGO",1978,NA,NA
"AGO",1979,NA,NA
"AGO",1980,NA,NA
"AGO",1981,NA,NA
"AGO",1982,NA,NA
"AGO",1983,NA,NA
"AGO",1984,NA,NA
"AGO",1985,NA,NA
"AGO",1986,NA,NA
"AGO",1987,NA,NA
"AGO",1988,NA,NA
"AGO",1989,NA,NA
"AGO",1990,0.4781753036,0.1506532176
"AGO",1991,0.4781753036,0.1506532176
"AGO",1992,0.4781753036,0.1506532176
"AGO",1993,0.4781753036,0.1506532176
"AGO",1994,0.4781753036,0.1506532176
"AGO",1995,0.4781753036,0.1506532176
"AGO",1996,0.4982093556,0.1643641909
"AGO",1997,0.5182434255,0.1780751822
"AGO",1998,0.5382774717,0.1917861573
"AGO",1999,0.5583115368,0.2054971455
"AGO",2000,0.5783455939,0.2192081221
"AGO",2001,0.5671192608,0.2107760007
"AGO",2002,0.5558929358,0.2023438819
"AGO",2003,0.544666613,0.1939117578
"AGO",2004,0.5334402875,0.1854796384
"AGO",2005,0.5222139536,0.1770475144
"AGO",2006,0.5109876162,0.1686153925
"AGO",2007,0.4997612869,0.16018326
"AGO",2008,0.4885349596,0.1517511407
"AGO",2009,0.4885349596,0.1517511407
"AGO",2010,0.4885349596,0.1517511407
"AGO",2011,0.4885349596,0.1517511407
"AGO",2012,0.4885349596,0.1517511407
"AGO",2013,0.4885349596,0.1517511407
"AGO",2014,0.4885349596,0.1517511407
"AGO",2015,0.4885349596,0.1517511407
"AGO",2016,0.4885349596,0.1517511407
"AGO",2017,0.4885349596,0.1517511407
"ALB",1960,NA,NA
"ALB",1961,NA,NA
"ALB",1962,NA,NA
"ALB",1963,NA,NA
"ALB",1964,NA,NA
"ALB",1965,NA,NA
"ALB",1966,NA,NA
"ALB",1967,NA,NA
"ALB",1968,NA,NA
"ALB",1969,NA,NA
"ALB",1970,NA,NA
"ALB",1971,NA,NA
"ALB",1972,NA,NA
"ALB",1973,NA,NA
"ALB",1974,NA,NA
"ALB",1975,NA,NA
"ALB",1976,NA,NA
"ALB",1977,NA,NA
"ALB",1978,NA,NA
"ALB",1979,NA,NA
"ALB",1980,NA,NA
"ALB",1981,NA,NA
"ALB",1982,NA,NA
"ALB",1983,NA,NA
"ALB",1984,NA,NA
"ALB",1985,NA,NA
"ALB",1986,NA,NA
"ALB",1987,NA,NA
"ALB",1988,NA,NA
"ALB",1989,NA,NA
"ALB",1990,NA,NA
"ALB",1991,NA,NA
"ALB",1992,NA,NA
"ALB",1993,NA,NA
"ALB",1994,NA,NA
"ALB",1995,NA,NA
"ALB",1996,0.2705,0.063500002
"ALB",1997,0.2809,0.0691
"ALB",1998,0.28780001,0.068300001
"ALB",1999,0.2915,0.0691
"ALB",2000,0.29390001,0.070100002
"ALB",2001,0.29679999,0.070600003
"ALB",2002,0.29820001,0.0704
"ALB",2003,0.2965,0.069799997
"ALB",2004,0.2947,0.070500001
"ALB",2005,0.29260001,0.0704
"ALB",2006,0.29179999,0.071699999
"ALB",2007,0.29100001,0.073299997
"ALB",2008,0.2931,0.075499997
"ALB",2009,0.2881,0.073200002
"ALB",2010,0.2744,0.065099999
"ALB",2011,0.27579999,0.065399997
"ALB",2012,0.27450001,0.064000003
"ALB",2013,NA,NA
"ALB",2014,NA,NA
"ALB",2015,NA,NA
"ALB",2016,NA,NA
"ALB",2017,NA,NA
"ARE",1960,NA,NA
"ARE",1961,NA,NA
"ARE",1962,NA,NA
"ARE",1963,NA,NA
"ARE",1964,NA,NA
"ARE",1965,NA,NA
"ARE",1966,NA,NA
"ARE",1967,NA,NA
"ARE",1968,NA,NA
"ARE",1969,NA,NA
"ARE",1970,NA,NA
"ARE",1971,NA,NA
"ARE",1972,NA,NA
"ARE",1973,NA,NA
"ARE",1974,NA,NA
"ARE",1975,NA,NA
"ARE",1976,NA,NA
"ARE",1977,NA,NA
"ARE",1978,NA,NA
"ARE",1979,NA,NA
"ARE",1980,NA,NA
"ARE",1981,NA,NA
"ARE",1982,NA,NA
"ARE",1983,NA,NA
"ARE",1984,NA,NA
"ARE",1985,NA,NA
"ARE",1986,NA,NA
"ARE",1987,NA,NA
"ARE",1988,NA,NA
"ARE",1989,NA,NA
"ARE",1990,0.5927,0.1956
"ARE",1991,0.59460002,0.1965
"ARE",1992,0.5966,0.19750001
"ARE",1993,0.59869999,0.19840001
"ARE",1994,0.60089999,0.19939999
"ARE",1995,0.60299999,0.20039999
"ARE",1996,0.60390002,0.2008
"ARE",1997,0.60479999,0.2013
"ARE",1998,0.60579997,0.2018
"ARE",1999,0.60689998,0.2023
"ARE",2000,0.60799998,0.20280001
"ARE",2001,0.6092,0.2034
"ARE",2002,0.61040002,0.204
"ARE",2003,0.6117,0.20469999
"ARE",2004,0.61299998,0.2054
"ARE",2005,0.61900002,0.1946
"ARE",2006,0.65700001,0.22499999
"ARE",2007,0.67269999,0.2467
"ARE",2008,0.69989997,0.2836
"ARE",2009,0.56059998,0.1558
"ARE",2010,0.56470001,0.1608
"ARE",2011,0.62660003,0.2237
"ARE",2012,0.64639997,0.2414
"ARE",2013,0.65969998,0.25299999
"ARE",2014,0.66839999,0.2606
"ARE",2015,0.63309997,0.23119999
"ARE",2016,0.62970001,0.2281
"ARE",2017,NA,NA
"ARG",1960,NA,NA
"ARG",1961,NA,0.1468
"ARG",1962,NA,NA
"ARG",1963,NA,NA
"ARG",1964,NA,NA
"ARG",1965,NA,NA
"ARG",1966,NA,NA
"ARG",1967,NA,NA
"ARG",1968,NA,NA
"ARG",1969,NA,NA
"ARG",1970,NA,NA
"ARG",1971,NA,NA
"ARG",1972,NA,NA
"ARG",1973,NA,NA
"ARG",1974,NA,NA
"ARG",1975,NA,NA
"ARG",1976,NA,NA
"ARG",1977,NA,NA
"ARG",1978,NA,NA
"ARG",1979,NA,NA
"ARG",1980,NA,NA
"ARG",1981,NA,NA
"ARG",1982,NA,NA
"ARG",1983,NA,NA
"ARG",1984,NA,NA
"ARG",1985,NA,NA
"ARG",1986,NA,NA
"ARG",1987,NA,NA
"ARG",1988,NA,NA
"ARG",1989,NA,NA
"ARG",1990,NA,NA
"ARG",1991,NA,NA
"ARG",1992,NA,NA
"ARG",1993,NA,NA
"ARG",1994,NA,NA
"ARG",1995,NA,NA
