"iso3c","year","ud","country"
"ALB","2009",12.6,"Albania"
"ALB","2010",12.9,"Albania"
"ALB","2011",13.3,"Albania"
"ALB","2012",14.1,"Albania"
"ALB","2013",13.3,"Albania"
"ARG","2001",42,"Argentina"
"ARG","2005",37,"Argentina"
"ARG","2008",30.7,"Argentina"
"ARG","2009",31.9,"Argentina"
"ARG","2010",30.1,"Argentina"
"ARG","2011",31.8,"Argentina"
"ARG","2012",30,"Argentina"
"ARG","2013",30.4,"Argentina"
"ARG","2014",27.7,"Argentina"
"ARM","2009",38.3,"Armenia"
"ARM","2010",35.8,"Armenia"
"ARM","2011",36.6,"Armenia"
"ARM","2012",35.2,"Armenia"
"ARM","2013",33.9,"Armenia"
"ARM","2015",32.2,"Armenia"
"AUS","2000",24.7,"Australia"
"AUS","2001",24.5,"Australia"
"AUS","2002",23.1,"Australia"
"AUS","2003",23,"Australia"
"AUS","2004",22.7,"Australia"
"AUS","2005",22.4,"Australia"
"AUS","2006",20.3,"Australia"
"AUS","2007",18.9,"Australia"
"AUS","2008",18.9,"Australia"
"AUS","2009",19.7,"Australia"
"AUS","2010",18.3,"Australia"
"AUS","2011",18.4,"Australia"
"AUS","2012",18.2,"Australia"
"AUS","2013",17,"Australia"
"AUS","2014",15.1,"Australia"
"AUS","2015",15,"Australia"
"AUS","2016",14.5,"Australia"
"AUT","2000",36.9,"Austria"
"AUT","2001",36.2,"Austria"
"AUT","2002",36,"Austria"
"AUT","2003",34.6,"Austria"
"AUT","2004",34.8,"Austria"
"AUT","2005",33.8,"Austria"
"AUT","2006",31.6,"Austria"
"AUT","2007",30.4,"Austria"
"AUT","2008",29.6,"Austria"
"AUT","2009",29.3,"Austria"
"AUT","2010",28.9,"Austria"
"AUT","2011",28.3,"Austria"
"AUT","2012",28,"Austria"
"AUT","2013",27.8,"Austria"
"AUT","2014",27.7,"Austria"
"AUT","2015",27.4,"Austria"
"AUT","2016",26.9,"Austria"
"BEL","2000",56.2,"Belgium"
"BEL","2001",56.4,"Belgium"
"BEL","2002",55.6,"Belgium"
"BEL","2003",54.2,"Belgium"
"BEL","2004",54,"Belgium"
"BEL","2005",53.7,"Belgium"
"BEL","2006",54.9,"Belgium"
"BEL","2007",54.7,"Belgium"
"BEL","2008",54.5,"Belgium"
"BEL","2009",54.9,"Belgium"
"BEL","2010",53.8,"Belgium"
"BEL","2011",55.1,"Belgium"
"BEL","2012",55,"Belgium"
"BEL","2013",55.1,"Belgium"
"BEL","2014",53.8,"Belgium"
"BEL","2015",54.2,"Belgium"
"BGR","2011",13.9,"Bulgaria"
"BGR","2012",11.4,"Bulgaria"
"BGR","2013",14,"Bulgaria"
"BGR","2014",13.9,"Bulgaria"
