"Country","Percentile","Year","Value","Type"
"Argentina","p90p100",1990,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",1991,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",1992,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",1993,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",1994,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",1995,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",1996,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",1997,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",1998,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",1999,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2000,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2001,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2002,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2003,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2004,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2005,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2006,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2007,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2008,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2009,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2010,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2011,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2012,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2013,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2014,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2015,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",2016,NA,"Top 10% | share | adults | equal split"
"Argentina","p90p100",1990,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",1991,NA,"Top 10% | share | adults | individual"
"Argentina","p90p100",1992,NA,"Top 10% | share | adults | individual"
