Country,ID,Percentile,Year,Value
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,1990,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,1991,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,1992,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,1993,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,1994,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,1995,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,1996,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,1997,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,1998,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,1999,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2000,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2001,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2002,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2003,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2004,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2005,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2006,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2007,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2008,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2009,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2010,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2011,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2012,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2013,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2014,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2015,
Argentina,"sptinc_p90p100_992_j_AR
Pre-tax national income 
Top 10% | share | adults | equal split
",p90p100,2016,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,1990,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,1991,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,1992,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,1993,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,1994,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,1995,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,1996,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,1997,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,1998,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,1999,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2000,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2001,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2002,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2003,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2004,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2005,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2006,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2007,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2008,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2009,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2010,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2011,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2012,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2013,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2014,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2015,
Argentina,"sptinc_p90p100_992_i_AR
Pre-tax national income 
Top 10% | share | adults | individual
",p90p100,2016,
Argentina,"sptinc_p90p100_992_t_AR
Pre-tax national income 
Top 10% | share | adults | tax unit
",p90p100,1990,
Argentina,"sptinc_p90p100_992_t_AR
Pre-tax national income 
Top 10% | share | adults | tax unit
",p90p100,1991,
