"iso3c","year","Top10share","Top1share","country","NatRes","GovExp","GDSavings","PopGrowth","PopTot","Infl","EducExp","VAI","VAA","NetFDIin","RuleofLaw","GDPpc","GDPgrowth","TradeOpen","LifeExp","Unemployment","WarYears","RevCoups","EquipI","NonequipI","kaopen","FID","FIA","FIE","FMD","EFW","EducIndex","CLandPR","LeftWing","GiniNet","RedistAbs","globFin","globRestrict","globSoc","globPol","GDPpc#GDPpc","Infl#Infl","EducIndex#EducIndex"
"AGO",2005,0.5222139536,0.1770475144,"Angola",45.0365302595742,16.0290371753303,52.0181531998987,3.53755715435985,16.7825141875999,22.9535138513941,2.61500000000001,60.4019934569532,5.06040294790886,-3.52665547915197,-1.427661,8.53946124795742,15.0289153175302,106.590962129525,50.165,20.5319995880127,0,0,0.046139961446159,0.212964528553841,-1.21001923084259,0.0608513,0.0378362,0.3749534,0.2104931,4.002282405,0.348,5.5,1,48.2315594099341,5.67691916714199,72.68466187,34.66771698,23.29034615,41.06138611,72.9223984053666,526.863798126141,0.121104
"AGO",2006,0.5109876162,0.1686153925,"Angola",43.7951425251114,15.3417224061598,55.611338598239,3.6195745593604,16.8187099331935,13.3052101780031,2.54,58.109331166465,5.19128018876127,-0.0720010214346084,-1.300314,8.61254746768101,11.5476831781633,94.6251593320477,51.143,17.673999786377,0,0,0.0342317580218604,0.18769443897814,-1.21001923084259,0.0543055,0.0622489,0.4475372,0.1496549,4.883131653,0.362,5.5,1,47.8120110357792,5.73607851632411,65.86529541,36.78160858,24.96403313,43.05849457,74.1759738830587,177.028617880837,0.131044
"AGO",2007,0.4997612869,0.16018326,"Angola",47.4840126382015,15.5369347037304,53.4820782069118,3.68063536954353,16.855516286889,12.2514974459487,2.79750000000005,61.8835378515421,5.24227833734658,-1.36876162792796,-1.365904,8.70685725185216,14.0100182426328,108.060067893978,52.177,14.6330003738403,0,0,0.0300950001499997,0.20643877585,-1.91655135154724,0.0516498,0.077071,0.55385,0.1059223,4.980364792,0.376,5.5,1,47.3646195307201,5.79027190932479,62.68280411,33.81360245,28.41543388,47.91830826,75.8093632041306,150.099189668088,0.141376
"AGO",2008,0.4885349596,0.1517511407,"Angola",56.6085597074164,16.8146114613451,54.3894026658403,3.71053132219744,16.8926216001109,12.4758291326398,3.05500000000007,60.2548201250717,4.80533931673356,1.89631505074079,-1.366982,8.77560757666795,11.1661383303614,121.36470790564,53.243,12.043999671936,0,0,0.0468087056238126,0.227759435376187,-1.91655135154724,0.0460871,0.0986738,0.6715102,0.0823297,4.980803091,0.39,5.5,1,47.0490388372718,5.60205936126553,63.19610214,28.75716591,26.94405937,47.41314697,77.0112883396719,155.646312546824,0.1521
"AGO",2009,0.4885349596,0.1517511407,"Angola",31.7455342780562,19.8985903407746,37.8893225081292,3.70387768309131,16.9296603769419,13.7302839288409,3.3125000000001,44.0563761691749,6.62119707047771,3.13666213316837,-1.230835,8.74711926633812,0.858712615098284,122.446142344145,54.311,10.6090002059937,0,0,0.055083311691385,0.335893534308615,-1.91655135154724,0.0767272,0.1191684,0.6482955,0.1002151,5.357889259,0.404,5.5,1,46.9397454072558,5.55057624266344,69.68804932,25.71328735,30.54485512,47.28361511,76.5120954595435,188.520696766587,0.163216
"ALB",2000,0.29390001,0.070100002,"Albania",1.0947387915416,9.69245368990069,7.57275867614977,-0.637356833943492,14.9433667125553,0.0500181363468431,2.88784065419344,19.3956456296929,24.5153606554554,4.10877603723822,-1.00878,8.60200813333016,6.95003613422918,63.4540743986735,73.955,17.7670001983643,0,0,0.0181232211157604,0.13170585388424,-0.141151502728462,0.0245261,0.0887263,0.5963047,0.0253821,6.296170339,0.588,4.5,1,38.1821948123278,9.38831504735292,40.01832199,37.01166153,46.27719879,60.46237183,73.9945439258782,0.00250181396361139,0.345744
"ALB",2002,0.29820001,0.0704,"Albania",0.755764016088467,11.3351317777315,8.63022023122346,-0.299876697084691,14.9309832413073,7.77052583431549,2.93287730838688,23.1063954130151,22.0251747817387,3.10482570131248,-0.7621468,8.73843408968851,4.53996064044719,68.5250379172273,74.579,17.5100002288818,0,0,0.0254428939330309,0.189444203066969,-0.141151502728462,0.0371843,0.1149646,0.6432576,0.020832,6.516059536,0.598,3,1,38.4501361486777,9.43372186413244,41.16705322,44.61475372,52.27157974,69.56113434,76.3602303398303,60.3810717417644,0.357604
"ALB",2003,0.2965,0.069799997,"Albania",0.762078498073808,11.0984308497484,8.57107925794045,-0.374149169291299,14.9272417496144,0.484002611818483,2.9553956354836,24.0555827571712,21.9782092040588,3.17271042518022,-0.7231404,8.79600114924682,5.53005077793323,67.0206085093238,74.828,17.496000289917,0,0,0.0281309372474002,0.2071996737526,-0.141151502728462,0.0369708,0.1184838,0.6491373,0.0160766,7.031750015,0.605,3,1,38.4586756401864,9.53252443063241,42.23900604,45.04594803,55.80932617,64.35559082,77.3696362175513,0.234258528247113,0.366025
"ALB",2004,0.2947,0.070500001,"Albania",0.776381057175609,11.2058737984145,11.584688815803,-0.417931377925999,14.9230624358352,2.28001916938101,2.97791396258033,24.6655230886557,20.5374568116515,4.75017740669056,-0.6877728,8.85381599980641,5.5099986931984,67.047228208342,75.039,17.2719993591309,0,0,0.0206340749824499,0.25491116401755,-0.141151502728462,0.0416574,0.1267343,0.6488824,0.0126306,6.858748558,0.606,3,1,38.4428360358225,9.60143280022771,38.88357544,45.46213531,57.77287674,55.968647,78.3900577584281,5.19848741274487,0.367236
"ALB",2005,0.29260001,0.0704,"Albania",1.05008470481175,11.0312644121086,12.0233068110639,-0.511790116421897,14.9179445346709,2.36658195679796,3.00043228967705,25.0817044962801,18.8452577928801,3.2597683417782,-0.7363358,8.91275818039965,5.52991480926491,70.8723282677903,75.228,16.8740005493164,0,0,0.0245158992417702,0.27856787775823,-0.141151502728462,0.0523569,0.1739808,0.6590083,0.0145327,6.985648763,0.623,3,1,38.4255554982961,9.75296835299651,39.52490234,46.40365601,57.98431778,65.08100128,79.4372583822809,5.60071015824166,0.388129
"ALB",2006,0.29179999,0.071699999,"Albania",1.43100707310744,10.5272894375395,11.8496437235079,-0.630911244851673,14.9116354222224,2.37072831904285,3.02295061677377,25.3081868713657,17.7083928445183,3.6548517813389,-0.684769,8.97639315226581,5.90008395738064,74.2670817296107,75.423,16.3939990997314,0,0,0.027142715551547,0.306537526448453,-1.21001923084259,0.0684283,0.220725,0.6534164,0.0135674,7.148668535,0.629,3,0,38.2874146025597,10.1147417438504,44.84422684,46.11435318,61.52945328,67.85746765,80.5756340240445,5.62035276271174,0.395641
"ALB",2007,0.29100001,0.073299997,"Albania",2.17162946648799,10.4774418914688,7.75562372230499,-0.75571875541991,14.9040782346682,2.93268248162318,3.04546894387049,25.3402998998185,17.1536228021036,6.10898158597587,-0.6462957,9.04203038139524,5.97998203625438,83.2021007868277,75.646,15.9659996032715,0,0,0.0329122967369239,0.294127153263076,-1.21001923084259,0.0897312,0.3009258,0.6578069,0.011791,7.258078274,0.642,3,0,38.31389771066,9.91474743891455,46.69264603,48.59579086,62.71580887,71.46051788,81.7583134180745,8.60062653801949,0.412164
"ALB",2008,0.2931,0.075499997,"Albania",1.62919924155033,10.3789550104211,6.52731321775209,-0.767342959142321,14.8964048050768,3.36313757366391,3.06798727096721,25.1610195780782,16.8370865333518,9.72769583957383,-0.5886946,9.12202418940617,7.49996956029166,77.4517486294968,75.912,13.0600004196167,0,0,0.0420593420860561,0.288780827913944,-1.21001923084259,0.1024318,0.4014525,0.6885712,0.0096166,7.276252236,0.646,3,0,38.5119457288188,9.78840278771069,54.72512054,50.23241806,61.83027267,73.99515533,83.2113253121113,11.31069433939,0.417316
"ALB",2009,0.2881,0.073200002,"Albania",0.980091469653627,11.1094193908118,8.02797471113499,-0.673894046451936,14.8896658646123,2.23139683475865,3.09050559806393,24.4136519491197,16.7943875183526,11.160172339702,-0.5004299,9.16171488209095,3.35006739254982,75.0948185576509,76.221,13.673999786377,0,0,0.0366799987804488,0.283080771219551,-1.21001923084259,0.1071828,0.4288112,0.6511432,0.0103632,7.313856211,0.652,3,0,38.4107917641567,9.88844608301814,60.31681824,55.56267929,62.37432861,76.71589661,83.9370195807268,4.97913183417092,0.425104
"ALB",2010,0.2744,0.065099999,"Albania",2.03375254261451,11.1573559597575,10.7333444451115,-0.49646196338738,14.8847012449784,3.61538461538463,3.11302392516065,24.937467207361,17.9558402491138,9.13989395257245,-0.407376,9.20307788424545,3.70689143341055,76.5433552386804,76.562,14.0860004425049,0,0,0.0306934766060075,0.233403200393992,-0.141151502728462,0.1092677,0.4359306,0.6689056,0.0173539,7.380725467,0.673,3,0,38.425200692971,9.77582955877575,60.57383728,63.26950836,62.4661026,75.10688019,84.6966425434877,13.0710059171599,0.452929
"ALB",2011,0.27579999,0.065399997,"Albania",3.45504414264328,10.9741648024847,10.726406049625,-0.269017331764615,14.8820110716608,3.44283593170005,3.13554225225737,24.4844090538444,18.2267661844305,8.13046155705371,-0.4553711,9.23090274463343,2.54532265145231,81.2185639373984,76.914,13.4809999465942,0,0,0.0348318767127944,0.237468426287206,-0.141151502728462,0.1167316,0.4428726,0.6718007,0.015755,7.381063619,0.693,3,0,38.4903542423397,9.69415353036933,56.06700516,61.34098434,59.54255295,69.49330902,85.209565480881,11.853119252605,0.480249
"ALB",2012,0.27450001,0.064000003,"Albania",3.59611965905506,10.844816119387,11.1883021852056,-0.165151040121679,14.8803595612595,2.03642235579081,3.15806057935409,22.9185131713126,18.7667991750788,7.45397255704342,-0.5203165,9.24662996980467,1.41752440769345,76.5102010189022,77.252,13.3760004043579,0,0,0.0269574311498042,0.198107367850196,-0.141151502728462,0.1240655,0.4451785,0.6784055,0.0166448,7.33233158,0.73,3,0,38.536489007222,9.67269879387993,59.09867477,59.77307129,58.97489548,61.78429794,85.5001657984899,4.14701601116459,0.5329
"AUS",2000,0.29710001,0.082099997,"Australia",3.25806713937701,17.7870981110444,24.1483516067996,1.19227232344832,16.7679699192848,4.45743514797225,4.83,24.6384001427796,3.11906818178381,3.58674526948965,1.751407,10.4742571653205,3.93309702604363,41.0290111758291,79.2341463414634,6.28299999237061,0,0,0.0303784939683464,0.214518901031654,1.06518971920013,0.8857094,0.822355,0.6825639,0.7744268,8.105357585,0.895,1,0,31.9439799612471,15.7549506036586,64.02669525,77.02874756,77.5901947,88.93403625,109.710063165268,19.8687280983784,0.801025
"AUS",2002,0.29280001,0.079300001,"Australia",3.14599032270867,17.5442457636894,24.4850202783416,1.22056378534358,16.7936591405609,2.98157453936349,4.858,23.6317256941636,3.94801213916285,3.71376212294673,1.79999,10.506926673292,4.00137703160961,41.5572758742756,79.9365853658537,6.36800003051758,0,0,0.0382884394618245,0.240487401538176,1.06518971920013,0.9019634,0.8150629,0.681204,0.8843766,8.038228795,0.895,1,0,31.9603108325854,16.2063376517662,72.20701599,72.71450806,78.19568634,89.15574646,110.395508117934,8.88978673378061,0.801025
"AUS",2003,0.29100001,0.081200004,"Australia",2.96387076611194,17.5953855373552,23.9104324810228,1.23399666342628,16.8059991071952,2.73259596616783,4.872,24.0631242508989,2.88853375948861,1.92614705261838,1.882049,10.5240089994458,2.9859404859405,40.2961446264483,80.2390243902439,5.92899990081787,1,0,0.0424304673123265,0.252965324687673,1.06518971920013,0.9274749,0.8118287,0.6871037,0.9056723,8.058186829,0.893,1,0,31.8714762605049,16.2590324232023,77.21212006,73.75544739,78.76828003,88.88611603,110.754765420415,7.4670807143167,0.797449
"AUS",2004,0.29319999,0.084200002,"Australia",3.8879067102855,17.4953747739649,24.4578933126142,1.15935216218033,16.817592628817,2.34325522482587,4.886,23.9493216915842,3.06211449191035,7.00544417278242,1.815572,10.5521702010014,4.05555187381954,37.1207343685942,80.490243902439,5.39499998092651,0,0,0.0466239568610746,0.255442876138925,1.06518971920013,0.9385129,0.8343106,0.6808911,0.9109418,8.025926534,0.892,1,0,31.8138998987786,16.1073154248785,77.71202087,74.4228363,79.3870163,88.38214111,111.348295950901,5.49084504867374,0.795664
"AUS",2005,0.30090001,0.087200001,"Australia",5.4104596812584,17.5615885581832,24.817996229283,1.31978955436191,16.8307905243606,2.69183168316831,4.9,24.6199197502957,2.88333002663787,-3.61881463501012,1.724451,10.5705112829646,3.20416012202685,39.2711826369216,80.8414634146341,5.03200006484985,0,0,0.0506101701536631,0.247423186846337,1.06518971920013,0.9357399,0.8338143,0.6843498,0.9158251,8.188706053,0.892,1,0,31.9972696206945,16.0027907596794,78.25095367,74.97814941,80.20545197,88.12070465,111.735708783282,7.24595781050874,0.795664
"AUS",2006,0.31189999,0.095100001,"Australia",6.70235878834396,17.4798028963399,25.7881637445681,1.47522794532757,16.8455428038139,3.55528773727028,4.79,25.6067159760344,2.72673444195779,4.0950242402329,1.77004,10.5833214776741,2.7945833156557,41.6042270907138,81.0414634146342,4.78200006484985,0,0,0.0508212093373883,0.243737554662612,1.06518971920013,0.9461344,0.8405164,0.7311333,0.9436541,8.250717443,0.895,1,0,32.0560153984038,15.962629971014,82.67079163,75.60451508,81.0775528,88.80809021,112.006693499798,12.6400708947844,0.801025
"AUS",2007,0.3017,0.0911,"Australia",8.41977131909582,17.3439365061251,25.9271870884499,0.624678435014185,16.8517895881641,2.32761128891476,4.66,25.6531194292619,2.20110013592946,5.20924970813456,1.761237,10.6147972612879,3.84430955287924,42.0514396834877,81.2926829268293,4.3769998550415,0,0,0.0522437994485423,0.247225194551458,1.06518971920013,0.9916316,0.8451988,0.7442579,0.9570493,8.283626311,0.901,1,0,32.4762233094669,15.3951680698532,85.91597748,75.66266632,81.44873047,89.82514191,112.673920898246,5.41777431228343,0.811801
"AUS",2008,0.2863,0.080799997,"Australia",10.55442416656,17.2426533980343,26.1174386080847,2.00402174031569,16.8718298055672,4.35029854990047,4.6,25.5935337501582,2.33863042368512,4.28465048042784,1.770851,10.6306830339575,3.65791265061549,42.8703326982714,81.3951219512195,4.23400020599365,0,0,0.0488531119365241,0.226291256063476,1.06518971920013,0.8682167,0.8439363,0.740135,0.8164288,8.191143349,0.911,1,1,32.7513197432957,15.0029937994818,78.22640228,74.47491455,81.98123932,89.81848145,113.011421768472,18.9250974732661,0.829921
"AUS",2009,0.29789999,0.083700001,"Australia",6.77416912014929,17.5915470045114,27.6077752957001,2.0610451296841,16.892440256864,1.77111716621252,4.8,26.9990358252423,2.29172039725587,3.09151820481379,1.740398,10.6292566046358,1.93692176952554,45.7979042094362,81.5439024390244,5.56099987030029,0,0,0.0456829161562104,0.22058882384379,1.06518971920013,0.8966376,0.8400697,0.7480851,0.9695191,8.08943264,0.909,1,1,32.7654168719332,15.0062595970696,83.55252838,74.41013336,83.11782837,90.02767944,112.981095967193,3.13685601645267,0.826281
